HOG	species	gene_id	gene_symbol	gene_name	annotation_source	annotation_quality
N0.HOG0000028	Ancistrocerus_nigricornis	ENSANRG00005001850	LOC107066280	odorant receptor 46a	OrthoFinder orthology transfer from: Polistes_dominula	orthology-inferred; not a direct NCBI name
N0.HOG0000028	Ancistrocerus_nigricornis	ENSANRG00005010340	LOC107068557; LOC107068559; LOC127069756; LOC127069858; LOC127069859	odorant receptor 94a-like; odorant receptor 67c-like; odorant receptor 46a-like; odorant receptor 42a-like; 7tm Odorant receptor	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000028	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000028	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000028	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000028	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000028	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000028	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000028	Polistes_dominula	LOC107066280	LOC107066280	odorant receptor 46a	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000028	Polistes_dominula	LOC107068556	LOC107068556	odorant receptor Or1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000028	Polistes_dominula	LOC107068557	LOC107068557	odorant receptor 94a-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000028	Polistes_dominula	LOC107068558	LOC107068558	Odorant receptor	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000028	Polistes_dominula	LOC107068559	LOC107068559	odorant receptor 67c-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000028	Polistes_dominula	LOC107068604	LOC107068604	odorant receptor Or1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
