tx	gene_id	Pd103	Pd105	Pd106	Pd11	Pd110	Pd112	Pd115	Pd119	Pd12	Pd120	Pd122	Pd123	Pd128	Pd13	Pd130	Pd134	Pd137	Pd14	Pd142	Pd143	Pd149	Pd15	Pd150	Pd152	Pd16	Pd17	Pd19	Pd2	Pd20	Pd21	Pd22	Pd23	Pd24	Pd25	Pd26	Pd27	Pd28	Pd29	Pd3	Pd30	Pd31	Pd32	Pd33	Pd34	Pd35	Pd36	Pd37	Pd38	Pd40	Pd43	Pd45	Pd46	Pd49	Pd5	Pd51	Pd52	Pd55	Pd56	Pd57	Pd58	Pd6	Pd63	Pd66	Pd69	Pd7	Pd72	Pd75	Pd77	Pd8	Pd80	Pd84	Pd86	Pd87	Pd9	Pd93	Pd95	Pd98
XR_001475461.1	LOC107064227	13.565532	16.186848	26.273634	7.37292	2.50985	3.601333	8.497291	0	28.536162	1.715729	5.611984	2.069578	0	13.546919	2.450424	5.590487	0	14.946583	8.238489	8.258258	6.877519	5.46414	22.573052	2.750378	7.016765	1.998163	3.565174	10.893658	2.483323	4.819272	3.136958	1.459863	2.825751	8.264856	19.848629	8.297678	7.379431	7.507696	13.749186	7.632242	2.064848	3.333762	8.595376	4.169533	2.428082	2.977622	12.969031	10.639044	6.088348	2.625114	0	5.190045	4.021404	7.620392	3.529141	1.903	0.658991	2.048027	0.546128	0	2.66968	0	6.029577	8.27216	0.970825	16.538349	12.526012	6.155425	2.433303	6.486676	3.494086	7.187638	5.523566	20.698058	4.332875	3.238825	7.773146
XR_001475460.1	LOC107064227	21.674795	27.699989	6.726642	30.708825	12.550353	8.477684	7.882673	14.318938	21.877482	9.873025	5.559764	3.544134	6.182831	19.197026	5.145849	20.050801	8.884259	6.136337	14.340135	25.206552	15.667675	11.853319	13.728588	11.360459	17.683925	29.475273	17.639145	14.14435	20.043114	15.077448	26.460528	24.290032	15.62915	15.064012	28.865125	8.626266	8.50573	17.854519	12.009827	20.057146	27.564088	17.321679	10.674147	11.088368	13.313188	7.902242	14.675907	19.995997	12.801783	13.795433	7.932102	4.391533	9.144766	7.474275	3.865918	6.590223	6.474033	6.048661	3.981014	5.381494	12.571285	6.782773	9.287603	22.945907	15.363917	16.139876	14.21647	5.229518	15.715219	2.925906	0.600978	3.155086	22.706287	24.518046	9.252225	7.967035	6.171887
XM_015316566.1	LOC107064169	15.176139	3.738389	3.728208	6.184893	1.719678	17.593701	23.283806	8.678572	7.727211	11.238803	21.110602	17.874467	3.964226	8.361771	3.14604	11.491626	5.328116	1.730225	3.50096	3.630978	18.458181	1.955389	1.915612	7.090548	5.192619	6.438377	13.206012	0.65574	8.284426	4.890177	25.187754	10.85323	14.509922	5.983676	26.272052	1.880828	0	5.020264	3.699504	1.617403	16.142121	14.112674	3.968417	4.414778	12.462494	7.739102	13.501182	12.127248	5.962134	9.269188	12.063713	8.407069	5.158589	11.651439	15.344995	2.178056	10.494983	6.514693	7.315128	19.655335	10.800687	6.33555	5.662447	14.357925	6.241226	16.930006	1.916223	1.198109	3.400112	2.458004	0	3.68855	4.863195	7.636392	5.959613	7.915607	12.96323
XM_015316593.1	LOC107064169	2.823123	0.465118	5.093142	0	2.153157	13.143812	25.081425	7.095426	3.449744	6.588296	5.494157	7.254676	2.725514	0	0.898587	4.112943	0.306372	6.075587	1.363038	0	2.807715	6.121688	2.143718	2.14325	6.330566	3.268958	0.697255	0	8.196371	3.145174	1.153085	9.144648	2.925285	0	2.023612	3.073454	0	1.445285	4.158366	0	8.009547	11.182744	1.171263	0	4.342248	2.630102	0	0	8.755292	11.316104	3.785845	1.601669	7.56219	3.156591	6.787908	4.112522	2.452231	1.941269	1.553225	1.591895	0	3.232751	0.983429	6.150873	1.583098	4.901829	0	0	0	4.09471	0	4.347234	5.206882	1.564924	8.372339	3.023672	4.309203
XM_015316630.1	LOC107064169	5.937382	2.910879	1.665175	0.4218	5.976312	13.432041	16.396429	7.10664	1.239839	7.005286	7.826102	12.978198	2.583431	3.061893	1.512245	3.935795	2.384079	3.203543	2.153769	1.383794	4.866611	5.739777	1.136224	1.916473	2.487952	0.775375	8.174512	0.622499	3.027192	6.478401	7.709077	5.031997	5.318071	5.241141	2.875235	0.220564	0	0.252524	4.393838	0	5.447524	8.972709	5.370762	3.829452	2.097658	3.939064	3.208432	2.672756	4.32532	13.173377	8.113855	8.315735	8.111117	5.425982	3.594856	3.127031	2.99249	3.085969	0.260574	4.684163	0.25097	0.370008	1.280929	2.535228	2.770934	0.993297	2.358834	0.143548	5.728706	2.100438	1.025117	6.014076	2.503579	1.032908	4.054905	3.298815	12.731587
XM_015316625.1	LOC107064169	0.430207	0.635064	0.431708	0.391844	18.512926	2.730821	1.522502	2.198014	0.453276	0.886574	3.486853	4.398582	3.995565	0.316075	5.983509	2.817775	2.842281	0.919619	5.757489	3.132871	0.619451	0.924348	0.921216	0.360776	1.285197	1.123824	0.849942	0.165904	0.159909	0.675802	1.144206	0.145612	0.686816	0.264516	0.196344	0.131199	0	0.028501	0.412537	0.051186	0.465644	0.691859	0.436722	0.157274	0.303847	0.345488	0.122329	0.223373	0.270938	1.106517	0.901364	0.661586	0.561513	0.433048	0.42591	0.342342	0.339524	0.844034	0.330877	1.344207	0.964509	1.215939	0.466843	0.254514	0.276356	0.279243	1.658859	1.547235	0.60684	1.888059	0.100392	0.261847	2.522042	0.395454	0.50482	2.494161	2.388077
XM_015316575.1	LOC107064169	0.320441	0	0.371905	0	0.242183	0.782444	1.037838	0	0.459149	0	0	1.214771	0.487668	0	0.441328	0	0.952238	0	0	0	0.289836	0	0	0	0.190415	0	0.251466	0	0.262968	0.901667	0.301	0	0	0	0	0	0	0	0	0	0	0.304372	0.264123	0	0.449576	0	0	0	0	1.175503	0.965305	0	1.002432	0	0	0	0	0	0.267782	0.282878	0	0	0	0	0	0.366389	0	0	0.340669	0	0	0.769871	0	0	0.35203	0.338577	0
XM_015316617.1	LOC107064169	0	0	0	0	0.824067	0.172598	0.469267	0	0	0	0.656819	0.213076	0.228656	0.12152	0	0	0	0.115408	0.507111	0	0	0.270855	0	0.186478	0	0	0	0	0.307148	0.144088	0	0	0	0	0	0	0	0.458752	0	0	0	0	0.476449	0.169823	0	0.165875	0	0	0	0.124503	0.412616	0.151634	0.313106	0.105284	0	0.90479	0	1.52304	0.142466	0	0	0	0	0	0.121144	0	0	0	0	0.254406	0	0	0.876626	0	0	0.2034	0
XM_015316585.1	LOC107064169	0.329568	0	0	0	0	0.698716	0.741379	0.595802	0	0	4.266136	1.595983	0.648111	0	0.994275	0	0.220151	0	0	0.318564	0	0	0	1.398718	0.883752	0	0	0	0	0	0.879982	0	0	0	0	0	1.144227	0	0	5.154848	0	0.317324	0	2.365383	0	1.353272	0	0	0	0	0.682011	0.734135	0.302022	0.657265	0.279274	0	1.246754	0	0.76084	0.802633	0	0	0	0	0	0.380805	0.983894	1.249957	0.352063	0.1882	0	0.793481	2.302464	0.237503	1.027001	0.869265	0.34597
XM_015316608.1	LOC107064169	0.282673	0	0	0	0.078599	0.984983	1.278103	0	0	0	0	1.595257	0.831096	0.152986	0.353898	0.159265	0.162536	0.13727	0.138017	0	0.441472	0.199017	0	0.370614	0.542922	0.423514	0.647691	0	0.899235	0	0	0	0	0	0	0	0	0	0	0	0	0.788617	0	0	0	0.459927	0	0	0.158839	0	0.126054	0.67668	0.284526	0.357163	0.405243	0.71919	0	0	0.456816	0.18098	0	0	0	0	0.147982	0	0	0	0	0.309149	0	0	1.103836	0	0	0	0.19696
