Superfamily	Family	Subfamily	Species	Source	Assembly accession	Assembly level	C (%)	S (%)	D (%)	F (%)	M (%)
Apoidea	Andrenidae	Andreninae	Andrena flavipes	ENSEMBL	GCA_963971345.1	Chromosome	97.4	96.9	0.5	0.8	1.8
Apoidea	Apidae	Apinae	Apis cerana	NCBI	GCF_029169275.1	Chromosome	99.5	98.8	0.7	0.1	0.4
Apoidea	Apidae	Apinae	Apis dorsata	NCBI	GCF_000469605.1	Scaffold	98.5	98.2	0.4	0.7	0.8
Apoidea	Apidae	Apinae	Apis florea	NCBI	GCF_000184785.3	Scaffold	98.8	98.5	0.4	0.4	0.8
Apoidea	Apidae	Apinae	Apis laboriosa	NCBI	GCF_014066325.1	Scaffold	99.3	99.0	0.4	0.1	0.5
Apoidea	Apidae	Apinae	Apis mellifera	NCBI	GCF_003254395.2	Chromosome	99.1	98.8	0.4	0.1	0.7
Apoidea	Apidae	Apinae	Bombus campestris	ENSEMBL	GCA_905333015.3	Chromosome	96.3	95.2	1.1	1.0	2.7
Apoidea	Apidae	Apinae	Bombus hortorum	ENSEMBL	GCA_905332935.1	Chromosome	97.2	96.8	0.4	0.8	2.0
Apoidea	Apidae	Apinae	Bombus hypnorum	ENSEMBL	GCA_911387925.2	Chromosome	96.8	96.1	0.7	0.7	2.5
Apoidea	Apidae	Apinae	Bombus impatiens	NCBI	GCF_000188095.3	Scaffold	99.5	99.0	0.5	0.0	0.5
Apoidea	Apidae	Apinae	Bombus lapidarius	ENSEMBL	GCA_964186655.1	Chromosome	95.5	95.1	0.4	1.0	3.4
Apoidea	Apidae	Apinae	Bombus monticola	ENSEMBL	GCA_965178685.1	Chromosome	96.9	96.2	0.7	0.9	2.3
Apoidea	Apidae	Apinae	Bombus muscorum	ENSEMBL	GCA_963971185.1	Chromosome	96.3	95.7	0.6	1.2	2.6
Apoidea	Apidae	Apinae	Bombus pascuorum	NCBI	GCF_905332965.1	Chromosome	99.7	99.0	0.7	0.1	0.2
Apoidea	Apidae	Apinae	Bombus pratorum	ENSEMBL	GCA_930367275.1	Chromosome	97.0	96.4	0.6	0.5	2.5
Apoidea	Apidae	Apinae	Bombus sylvestris	ENSEMBL	GCA_911622165.2	Chromosome	96.2	95.5	0.7	1.0	2.9
Apoidea	Apidae	Apinae	Bombus terrestris	NCBI	GCF_910591885.1	Chromosome	99.4	98.7	0.7	0.1	0.5
Apoidea	Apidae	Apinae	Bombus vestalis	ENSEMBL	GCA_963556215.1	Chromosome	96.6	96.1	0.5	1.0	2.3
Apoidea	Apidae	Apinae	Eufriesea mexicana	NCBI	GCF_001483705.2	Scaffold	98.8	96.8	2.0	0.2	1.0
Apoidea	Apidae	Apinae	Habropoda laboriosa	NCBI	GCF_001263275.1	Scaffold	99.4	98.9	0.5	0.2	0.4
Apoidea	Apidae	Apinae	Melipona bicolor	NCBI	GCA_030673865.1	Scaffold	96.6	95.9	0.7	1.4	2.0
Apoidea	Apidae	Apinae	Melipona quadrifasciata	NCBI	GCA_001276565.1	Scaffold	91.1	90.3	0.7	1.7	7.2
Apoidea	Apidae	Apinae	Tetragonisca angustula	NCBI	GCA_036937485.2	Scaffold	99.0	98.3	0.7	0.1	0.8
Apoidea	Apidae	Xylocopinae	Ceratina calcarata	NCBI	GCF_001652005.2	Scaffold	98.0	95.5	2.5	1.0	1.1
Apoidea	Apidae	Xylocopinae	Xylocopa sonorina	NCBI	GCF_050948175.1	Chromosome	99.9	97.9	2.0	0.0	0.1
Apoidea	Cabronidae	Bembicinae	Nysson spinosus	ENSEMBL	GCA_910591585.2	Chromosome	97.7	97.2	0.4	0.7	1.7
Apoidea	Cabronidae	Pemphredoninae	Pemphredon lugubris	ENSEMBL	GCA_933228935.1	Chromosome	97.2	96.3	0.9	0.4	2.4
Apoidea	Colletidae	Colletinae	Colletes latitarsis	NCBI	GCF_051014445.1	Chromosome	99.3	98.5	0.7	0.3	0.4
Cynipoidea	Cynipidae	Cynipinae	Belonocnema kinseyi	NCBI	GCF_010883055.1	Chromosome	97.0	95.9	1.1	1.5	1.5
