Node	Direction	HOG	Change	Family P	Viterbi branch probability	Track	Consensus HOG name	Fig. 3 class	Vespula vulgaris members	Polistes dominula members	Ancistrocerus nigricornis members
20	contraction	N0.HOG0000159	-2	0	0.00741577	Standard	unannotated HOG	Not classified	""	""	ENSANRG00005009200; ENSANRG00005010473; ENSANRG00005009042; ENSANRG00005009053; ENSANRG00005008164; ENSANRG00005008845; ENSANRG00005010061; ENSANRG00005008156
20	contraction	N0.HOG0000166	-2	0	0.00244355	Standard	unannotated HOG	Not classified	""	""	ENSANRG00005009768; ENSANRG00005002515; ENSANRG00005002483; ENSANRG00005008819; ENSANRG00005010320; ENSANRG00005002887; ENSANRG00005006294
20	expansion	N0.HOG0000028	2	0	0.00774613	Standard	odorant receptor family	Chemoperception	7tm Odorant receptor; odorant receptor Or1-like; odorant receptor 46a-like; odorant receptor 42a-like; odorant receptor 94a-like	odorant receptor 46a; Odorant receptor; odorant receptor Or1-like; odorant receptor 67c-like; odorant receptor 94a-like	odorant receptor 46a; odorant receptor 94a-like; odorant receptor 67c-like; odorant receptor 46a-like; odorant receptor 42a-like; 7tm Odorant receptor
20	expansion	N0.HOG0000058	3	0	0.000638988	Standard	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	Endocrine	Enoyl-(Acyl carrier protein) reductase; farnesol dehydrogenase-like	dehydrogenase/reductase SDR family member 11-like; farnesol dehydrogenase-like	dehydrogenase/reductase SDR family member 11-like; farnesol dehydrogenase-like; Enoyl-(Acyl carrier protein) reductase; dehydrogenase/reductase SDR family member 11-like; farnesol dehydrogenase-like; farnesol dehydrogenase-like
20	expansion	N0.HOG0000101	6	0	0.00287406	Large-family	cytochrome P450 family	Lipid / CHC	probable cytochrome P450 4p2; cytochrome P450 4C1-like	cytochrome P450 4C1-like; cytochrome P450 4g15-like; cytochrome P450 4p1-like; probable cytochrome P450 4ac1; cytochrome P450 4c3-like; cytochrome P450 3A13-like; Cytochrome P-450; cytochrome P450 4V2-like	""
20	expansion	N0.HOG0000103	2	0	0.000699837	Standard	histone H2B-like family	Other / unresolved	histone H2B-like; histone H2B; late histone H2B.L4-like	histone H2B-like; histone H2B	""
20	expansion	N0.HOG0000158	6	0	0.00447613	Large-family	odorant receptor family	Chemoperception	Odorant receptor; 7tm Odorant receptor	odorant receptor 10a-like; 7tm Odorant receptor; Odorant receptor	Odorant receptor; odorant receptor 10a-like
20	expansion	N0.HOG0000299	2	0	0.000699837	Standard	glutamyl aminopeptidase-like / aminopeptidase A-like	Digestion / nutrition	aminopeptidase A-like; glutamyl aminopeptidase-like	glutamyl aminopeptidase-like	glutamyl aminopeptidase-like; aminopeptidase A-like
20	expansion	N0.HOG0000470	2	0.001	0.000699837	Standard	carbonic anhydrase 7-like / carbonic anhydrase 1-like	Other / unresolved	carbonic anhydrase-related protein-like; carbonic anhydrase 2-like; carbonic anhydrase 7-like	carbonic anhydrase 1-like; carbonic anhydrase 7-like	""
20	expansion	N0.HOG0000518	2	0.001	0.000699837	Standard	DM4/DM12 family	Other / unresolved	DM4/DM12 family	DM4/DM12 family	DM4/DM12 family
20	expansion	N0.HOG0000592	2	0	0.000699837	Standard	ESCO1/2 acetyl-transferase / N-acetyltransferase activity	Other / unresolved	ESCO1/2 acetyl-transferase; N-acetyltransferase family 8 member 3-like; probable N-acetyltransferase camello	ESCO1/2 acetyl-transferase; N-acetyltransferase activity	ESCO1/2 acetyl-transferase; N-acetyltransferase activity; probable N-acetyltransferase camello; N-acetyltransferase family 8 member 3-like
20	expansion	N0.HOG0000639	2	0	0.000699837	Standard	fatty acid synthase	Lipid / CHC	fatty acid synthase-like	fatty acid synthase-like	""
25	contraction	N0.HOG0000373	-2	0	0.00217099	Standard	Zinc knuckle	Not classified	""	Zinc knuckle	ENSANRG00005006265; ENSANRG00005006147; ENSANRG00005003372; ENSANRG00005005838; ENSANRG00005006209; ENSANRG00005010062
25	contraction	N0.HOG0000742	-2	0	0.000787241	Standard	unannotated HOG	Not classified	""	""	ENSANRG00005001443; ENSANRG00005009186; ENSANRG00005010129
25	expansion	N0.HOG0000042	3	0	0.00101874	Standard	odorant receptor family	Chemoperception	odorant receptor 30a-like; 7tm Odorant receptor; odorant receptor 13a-like	odorant receptor Or2-like; odorant receptor 30a-like; odorant receptor 43a-like	odorant receptor 43a-like; 7tm Odorant receptor; odorant receptor 43a-like; odorant receptor Or2-like; odorant receptor 30a-like; odorant receptor 30a-like; odorant receptor 13a-like; 7tm Odorant receptor
25	expansion	N0.HOG0000050	11	0	0.000801973	Large-family	odorant receptor family	Chemoperception	odorant receptor 2a-like; odorant receptor 13a-like; Odorant receptor; putative odorant receptor 69a; odorant receptor 4-like; odorant receptor 82a-like; odorant receptor 10a-like; odorant receptor 67a-like; odorant receptor 9a-like; odorant receptor 45b-like; putative odorant receptor 85d; odorant receptor 85c-like	Odorant receptor; odorant receptor 85f-like; odorant receptor 13a-like; odorant receptor 85c-like; odorant receptor 82a-like	Odorant receptor; odorant receptor 2a-like; odorant receptor 13a-like; Odorant receptor; odorant receptor 82a-like; odorant receptor 10a-like; odorant receptor 13a-like; Odorant receptor; odorant receptor 9a-like; odorant receptor 67a-like; odorant receptor 45b-like; odorant receptor 4-like; putative odorant receptor 85d; odorant receptor 85f-like; odorant receptor 13a-like; Odorant receptor; odorant receptor 4-like; odorant receptor 10a-like; odorant receptor 85c-like; odorant receptor 82a-like
25	expansion	N0.HOG0000108	8	0	0.000943866	Large-family	glutamate receptor ionotropic, delta-1-like / probable glutamate receptor	Other / unresolved	glutamate receptor 3-like; glutamate receptor U1-like; glutamate receptor ionotropic, kainate glr-3-like; Ligated ion channel L-glutamate- and glycine-binding site; glutamate receptor ionotropic, delta-2-like; probable glutamate receptor; glutamate receptor ionotropic, delta-1-like; glutamate receptor 2-like; glutamate receptor 1-like; glutamate receptor-like	glutamate receptor ionotropic, delta-1-like; glutamate receptor 1-like; Ligated ion channel L-glutamate- and glycine-binding site	Ligated ion channel L-glutamate- and glycine-binding site; glutamate receptor 1-like; glutamate receptor ionotropic, delta-1-like; glutamate receptor 2-like; glutamate receptor ionotropic, NMDA 3A-like; probable glutamate receptor; glutamate receptor ionotropic, delta-2-like; glutamate receptor ionotropic, kainate glr-3-like; glutamate receptor U1-like; glutamate receptor-like; glutamate receptor 3-like
25	expansion	N0.HOG0000114	6	0	2.43212e-08	Standard	fatty acid synthase	Lipid / CHC	fatty acid synthase-like	fatty acid synthase-like; Fatty acid synthase 3	""
25	expansion	N0.HOG0000155	2	0	0.00304223	Standard	late histone H1-like / histone H1-like	Other / unresolved	histone H1-like; late histone H1-like; Domain in histone families 1 and 5	late histone H1-like	Domain in histone families 1 and 5; late histone H1-like; histone H1-like
