HOG	OG	gene_tree_parent_clade	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	chemosensory_family_flag	TE_related_HOG_flag	TE_filter_reason
N0.HOG0000028	OG0000009	n0	odorant receptor family	conservative keyword family rule	7tm Odorant receptor; odorant receptor Or1-like; odorant receptor 46a-like; odorant receptor 42a-like; odorant receptor 94a-like; odorant receptor 46a; Odorant receptor; odorant receptor 67c-like	6	LOC127069857; LOC127069766; LOC127069756; LOC127069858; LOC127069859; LOC127069757	LOC127069857; LOC127069766; LOC127069756; LOC127069858; LOC127069859; LOC127069757	7tm Odorant receptor; odorant receptor Or1-like; odorant receptor 46a-like; odorant receptor 42a-like; odorant receptor 94a-like	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: vv_genetable.csv	6	6	LOC107066280; LOC107068558; LOC107068556; LOC107068559; LOC107068557; LOC107068604	LOC107066280; LOC107068558; LOC107068556; LOC107068559; LOC107068557; LOC107068604	odorant receptor 46a; Odorant receptor; odorant receptor Or1-like; odorant receptor 67c-like; odorant receptor 94a-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	6	2	ENSANRG00005001850; ENSANRG00005010340	LOC107066280; LOC107068557; LOC107068559; LOC127069756; LOC127069858; LOC127069859	odorant receptor 46a; odorant receptor 94a-like; odorant receptor 67c-like; odorant receptor 46a-like; odorant receptor 42a-like; 7tm Odorant receptor	OrthoFinder orthology transfer from: Polistes_dominula; OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	2	TRUE	FALSE	
N0.HOG0000042	OG0000019	n0	odorant receptor family	conservative keyword family rule	odorant receptor 30a-like; 7tm Odorant receptor; odorant receptor 13a-like; odorant receptor Or2-like; odorant receptor 43a-like; odorant receptor 43a-like; 7tm Odorant receptor; odorant receptor Or2-like; odorant receptor 30a-like; odorant receptor 13a-like; 7tm Odorant receptor	7	LOC127070879; LOC127070846; LOC127071912; LOC127071909; LOC127071911; LOC127071773; LOC127071910	LOC127070879; LOC127070846; LOC127071912; LOC127071909; LOC127071911; LOC127071773; LOC127071910	odorant receptor 30a-like; 7tm Odorant receptor; odorant receptor 13a-like	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	7	4	LOC107068975; LOC107069472; LOC107069496; LOC107069471	LOC107068975; LOC107069472; LOC107069496; LOC107069471	odorant receptor Or2-like; odorant receptor 30a-like; odorant receptor 43a-like	NCBI: pd_genetable.csv	4	6	ENSANRG00005002618; ENSANRG00005002235; ENSANRG00005004452; ENSANRG00005003785; ENSANRG00005005061; ENSANRG00005006495	LOC107069496; LOC127070846; LOC107069471; LOC107068975; LOC127071912; LOC127071909; LOC127071773; LOC127071911	odorant receptor 43a-like; 7tm Odorant receptor; odorant receptor 43a-like; odorant receptor Or2-like; odorant receptor 30a-like; odorant receptor 30a-like; odorant receptor 13a-like; 7tm Odorant receptor	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula; OrthoFinder orthology transfer from: Vespula_vulgaris	6	TRUE	FALSE	
N0.HOG0000050	OG0000026	n0	odorant receptor family	conservative keyword family rule	odorant receptor 2a-like; odorant receptor 13a-like; Odorant receptor; putative odorant receptor 69a; odorant receptor 4-like; odorant receptor 82a-like; odorant receptor 10a-like; odorant receptor 67a-like	37	LOC127072298; LOC127072297; LOC127072295; LOC127072417; LOC127072291; LOC127072292; LOC127072278; LOC127072293; LOC127072413; LOC127072414; LOC127072294; LOC127072415; LOC127071010; LOC127072307; LOC127072289; LOC127072462; LOC127072290; LOC127072310; LOC127072311; LOC127072288; LOC127072308; LOC127072282; LOC127072312; LOC127072286; LOC127072285; LOC127072284; LOC127072309; LOC127072287; LOC127072313; LOC127072283; LOC127072281; LOC127072416; LOC127072296; LOC127072279; LOC127071154; LOC127072299; LOC127064088	LOC127072298; LOC127072297; LOC127072295; LOC127072417; LOC127072291; LOC127072292; LOC127072278; LOC127072293; LOC127072413; LOC127072414; LOC127072294; LOC127072415; LOC127071010; LOC127072307; LOC127072289; LOC127072462; LOC127072290; LOC127072310; LOC127072311; LOC127072288; LOC127072308; LOC127072282; LOC127072312; LOC127072286; LOC127072285; LOC127072284; LOC127072309; LOC127072287; LOC127072313; LOC127072283; LOC127072281; LOC127072416; LOC127072296; LOC127072279; LOC127071154; LOC127072299; LOC127064088	odorant receptor 2a-like; odorant receptor 13a-like; Odorant receptor; putative odorant receptor 69a; odorant receptor 4-like; odorant receptor 82a-like; odorant receptor 10a-like; odorant receptor 67a-like; odorant receptor 9a-like; odorant receptor 45b-like; putative odorant receptor 85d; odorant receptor 85c-like	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	37	8	LOC107067895; LOC107069745; LOC107071314; LOC107069746; LOC107073503; LOC107073504; LOC107073299; LOC107073493	LOC107067895; LOC107069745; LOC107071314; LOC107069746; LOC107073503; LOC107073504; LOC107073299; LOC107073493	Odorant receptor; odorant receptor 85f-like; odorant receptor 13a-like; odorant receptor 85c-like; odorant receptor 82a-like	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: pd_genetable.csv	8	14	ENSANRG00005003554; ENSANRG00005003635; ENSANRG00005004044; ENSANRG00005003420; ENSANRG00005004238; ENSANRG00005003940; ENSANRG00005003735; ENSANRG00005003771; ENSANRG00005003443; ENSANRG00005003968; ENSANRG00005004425; ENSANRG00005003315; ENSANRG00005003990; ENSANRG00005001794	LOC107067895; LOC127072298; LOC127072297; LOC127072289; LOC127072290; LOC127072307; LOC127072310; LOC127072311; LOC127072462; LOC127072281; LOC127072282; LOC127072283; LOC127072284; LOC127072285; LOC127072286; LOC127072287; LOC127072288; LOC127072308; LOC127072309; LOC127072312; LOC127072313; LOC107069745; LOC107071314; LOC107073503; LOC107073504; LOC127071154; LOC127072279; LOC127072296; LOC127072416; LOC107073299; LOC127072299; LOC107073493; LOC127064088	Odorant receptor; odorant receptor 2a-like; odorant receptor 13a-like; Odorant receptor; odorant receptor 82a-like; odorant receptor 10a-like; odorant receptor 13a-like; Odorant receptor; odorant receptor 9a-like; odorant receptor 67a-like; odorant receptor 45b-like; odorant receptor 4-like; putative odorant receptor 85d; odorant receptor 85f-like; odorant receptor 13a-like; Odorant receptor; odorant receptor 4-like; odorant receptor 10a-like; odorant receptor 85c-like; odorant receptor 82a-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula	13	TRUE	FALSE	
N0.HOG0000058	OG0000034	n0	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	weighted recurring annotation	Enoyl-(Acyl carrier protein) reductase; farnesol dehydrogenase-like; dehydrogenase/reductase SDR family member 11-like; farnesol dehydrogenase-like; Enoyl-(Acyl carrier protein) reductase; dehydrogenase/reductase SDR family member 11-like; farnesol dehydrogenase-like	8	LOC127062191; LOC127071841; LOC127066198; LOC127067492; LOC127066142; LOC127066143; LOC127066140; LOC127066141	LOC127062191; LOC127071841; LOC127066198; LOC127067492; LOC127066142; LOC127066143; LOC127066140; LOC127066141	Enoyl-(Acyl carrier protein) reductase; farnesol dehydrogenase-like	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: vv_genetable.csv	8	11	LOC107069231; LOC107069232; LOC107069372; LOC107068869; LOC107072739; LOC107072839; LOC107064054; LOC107073573; LOC107068937; LOC107068935; LOC107068949	LOC107069231; LOC107069232; LOC107069372; LOC107068869; LOC107072739; LOC107072839; LOC107064054; LOC107073573; LOC107068937; LOC107068935; LOC107068949	dehydrogenase/reductase SDR family member 11-like; farnesol dehydrogenase-like	NCBI: pd_genetable.csv	11	4	ENSANRG00005002355; ENSANRG00005003475; ENSANRG00005003948; ENSANRG00005001615	CG10962; CG3301; CG40485; CG40486; CG8757; CG9150; CG9360; LOC107069231; CG10962; CG3301; CG40485; CG40486; CG8757; CG9150; CG9360; LOC107069232; LOC127062191; CG10962; CG3301; CG40485; CG40486; CG8757; CG9150; CG9360; LOC107064054; LOC107072739; LOC107072839; LOC127067492; CG10962; CG3301; CG40485; CG40486; CG8757; CG9150; CG9360; LOC107068935; LOC107068937; LOC107068949; LOC107073573; LOC127066140; LOC127066141; LOC127066142; LOC127066143; LOC127066198	dehydrogenase/reductase SDR family member 11-like; farnesol dehydrogenase-like; Enoyl-(Acyl carrier protein) reductase; dehydrogenase/reductase SDR family member 11-like; farnesol dehydrogenase-like; farnesol dehydrogenase-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	4	FALSE	FALSE	
N0.HOG0000101	OG0000053	n0	cytochrome P450 family	conservative keyword family rule	probable cytochrome P450 4p2; cytochrome P450 4C1-like; cytochrome P450 4g15-like; cytochrome P450 4p1-like; probable cytochrome P450 4ac1; cytochrome P450 4c3-like; cytochrome P450 3A13-like; Cytochrome P-450	6	LOC127071132; LOC127071130; LOC127071131; LOC127072492; LOC127071129; LOC127071128	LOC127071132; LOC127071130; LOC127071131; LOC127072492; LOC127071129; LOC127071128	probable cytochrome P450 4p2; cytochrome P450 4C1-like	NCBI: vv_genetable.csv	6	27	LOC107064932; LOC107073689; LOC107073593; LOC107065070; LOC107073672; LOC107069800; LOC107065361; LOC107073749; LOC107073595; LOC107065768; LOC107073471; LOC107073594; LOC107064933; LOC107065602; LOC107071388; LOC107065068; LOC107073688; LOC107073729; LOC107073472; LOC107065071; LOC107073620; LOC107069071; LOC107065359; LOC107073748; LOC107073787; LOC107071176; LOC107073473	LOC107064932; LOC107073689; LOC107073593; LOC107065070; LOC107073672; LOC107069800; LOC107065361; LOC107073749; LOC107073595; LOC107065768; LOC107073471; LOC107073594; LOC107064933; LOC107065602; LOC107071388; LOC107065068; LOC107073688; LOC107073729; LOC107073472; LOC107065071; LOC107073620; LOC107069071; LOC107065359; LOC107073748; LOC107073787; LOC107071176; LOC107073473	cytochrome P450 4C1-like; cytochrome P450 4g15-like; cytochrome P450 4p1-like; probable cytochrome P450 4ac1; cytochrome P450 4c3-like; cytochrome P450 3A13-like; Cytochrome P-450; cytochrome P450 4V2-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	27	0					0	FALSE	FALSE	
N0.HOG0000103	OG0000055	n0	histone H2B-like family	conservative keyword family rule	histone H2B-like; histone H2B; late histone H2B.L4-like	10	LOC127067993; LOC127070680; LOC127064538; LOC127064416; LOC127070618; LOC127064417; LOC127064668; LOC127064418; LOC127064431; LOC127064833	LOC127067993; LOC127070680; LOC127064538; LOC127064416; LOC127070618; LOC127064417; LOC127064668; LOC127064418; LOC127064431; LOC127064833	histone H2B-like; histone H2B; late histone H2B.L4-like	NCBI: vv_genetable.csv	10	2	LOC107066966; LOC107068925	LOC107066966; LOC107068925	histone H2B-like; histone H2B	NCBI: pd_genetable.csv	2	0					0	FALSE	FALSE	
N0.HOG0000108	OG0000060	n0	glutamate receptor ionotropic, delta-1-like / probable glutamate receptor	weighted recurring annotation	glutamate receptor 3-like; glutamate receptor U1-like; glutamate receptor ionotropic, kainate glr-3-like; Ligated ion channel L-glutamate- and glycine-binding site; glutamate receptor ionotropic, delta-2-like; probable glutamate receptor; glutamate receptor ionotropic, delta-1-like; glutamate receptor 2-like	29	LOC127064461; LOC127064871; LOC127064886; LOC127064453; LOC127064772; LOC127071083; LOC127064776; LOC127064775; LOC127064773; LOC127064774; LOC127064452; LOC127064451; LOC127064822; LOC127064823; LOC127064825; LOC127064824; LOC127070958; LOC127071150; LOC127071152; LOC127071068; LOC127071149; LOC127071073; LOC127071066; LOC127070959; LOC127071153; LOC127071070; LOC127071156; LOC127064821; LOC127064777	LOC127064461; LOC127064871; LOC127064886; LOC127064453; LOC127064772; LOC127071083; LOC127064776; LOC127064775; LOC127064773; LOC127064774; LOC127064452; LOC127064451; LOC127064822; LOC127064823; LOC127064825; LOC127064824; LOC127070958; LOC127071150; LOC127071152; LOC127071068; LOC127071149; LOC127071073; LOC127071066; LOC127070959; LOC127071153; LOC127071070; LOC127071156; LOC127064821; LOC127064777	glutamate receptor 3-like; glutamate receptor U1-like; glutamate receptor ionotropic, kainate glr-3-like; Ligated ion channel L-glutamate- and glycine-binding site; glutamate receptor ionotropic, delta-2-like; probable glutamate receptor; glutamate receptor ionotropic, delta-1-like; glutamate receptor 2-like; glutamate receptor 1-like; glutamate receptor-like	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	29	6	LOC107074054; LOC107074055; LOC107074236; LOC107074235; LOC107073709; LOC107066062	LOC107074054; LOC107074055; LOC107074236; LOC107074235; LOC107073709; LOC107066062	glutamate receptor ionotropic, delta-1-like; glutamate receptor 1-like; Ligated ion channel L-glutamate- and glycine-binding site	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	6	1	ENSANRG00005002011	LOC107066062; LOC107073709; LOC107074055; LOC107074235; LOC107074236; LOC127064451; LOC127064452; LOC127064453; LOC127064771; LOC127064772; LOC127064773; LOC127064774; LOC127064775; LOC127064776; LOC127064777; LOC127064821; LOC127064822; LOC127064823; LOC127064824; LOC127064825; LOC127064871; LOC127064886; LOC127070958; LOC127070959; LOC127071066; LOC127071068; LOC127071070; LOC127071073; LOC127071083; LOC127071149; LOC127071150; LOC127071152; LOC127071153; LOC127071156	Ligated ion channel L-glutamate- and glycine-binding site; glutamate receptor 1-like; glutamate receptor ionotropic, delta-1-like; glutamate receptor 2-like; glutamate receptor ionotropic, NMDA 3A-like; probable glutamate receptor; glutamate receptor ionotropic, delta-2-like; glutamate receptor ionotropic, kainate glr-3-like; glutamate receptor U1-like; glutamate receptor-like; glutamate receptor 3-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE	
N0.HOG0000114	OG0000066	n0	fatty acid synthase	conservative keyword family rule	fatty acid synthase-like; Fatty acid synthase 3	13	LOC127069621; LOC127064300; LOC127063701; LOC127062155; LOC127062193; LOC127062156; LOC127062548; LOC127062556; LOC127062547; LOC127062557; LOC127062549; LOC127062550; LOC127062188	LOC127069621; LOC127064300; LOC127063701; LOC127062155; LOC127062193; LOC127062156; LOC127062548; LOC127062556; LOC127062547; LOC127062557; LOC127062549; LOC127062550; LOC127062188	fatty acid synthase-like	NCBI: vv_genetable.csv	13	2	LOC107071460; LOC107067738	LOC107071460; FASN3	fatty acid synthase-like; Fatty acid synthase 3	NCBI: pd_genetable.csv	2	0					0	FALSE	FALSE	
N0.HOG0000155	OG0000091	n0	late histone H1-like / histone H1-like	weighted recurring annotation	histone H1-like; late histone H1-like; Domain in histone families 1 and 5; late histone H1-like; histone H1-like	6	LOC127064551; LOC127064408; LOC127069419; LOC127064394; LOC127070667; LOC127072370	LOC127064551; LOC127064408; LOC127069419; LOC127064394; LOC127070667; LOC127072370	histone H1-like; late histone H1-like; Domain in histone families 1 and 5	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	6	1	LOC107066965	LOC107066965	late histone H1-like	NCBI: pd_genetable.csv	1	2	ENSANRG00005005713; ENSANRG00005009432	LOC127072370; LOC127064408; LOC127064551	Domain in histone families 1 and 5; late histone H1-like; histone H1-like	OrthoFinder orthology transfer from: Vespula_vulgaris	2	FALSE	FALSE	
N0.HOG0000158	OG0000094	n0	odorant receptor family	conservative keyword family rule	Odorant receptor; 7tm Odorant receptor; odorant receptor 10a-like	20	LOC127064791; LOC127072452; LOC127072301; LOC127072300; LOC127069930; LOC127068650; LOC127068522; LOC127068516; LOC127068521; LOC127068519; LOC127068540; LOC127068517; LOC127069927; LOC127068649; LOC127068520; LOC127068541; LOC127068648; LOC127068647; LOC127068513; LOC127072280	LOC127064791; LOC127072452; LOC127072301; LOC127072300; LOC127069930; LOC127068650; LOC127068522; LOC127068516; LOC127068521; LOC127068519; LOC127068540; LOC127068517; LOC127069927; LOC127068649; LOC127068520; LOC127068541; LOC127068648; LOC127068647; LOC127068513; LOC127072280	Odorant receptor; 7tm Odorant receptor	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	20	13	LOC107070831; LOC107066992; LOC107066993; LOC107073597; LOC107073260; LOC107073261; LOC107073262; LOC107073263; LOC107073708; LOC107073547; LOC107073776; LOC107073765; LOC107073639	LOC107070831; LOC107066992; LOC107066993; LOC107073597; LOC107073260; LOC107073261; LOC107073262; LOC107073263; LOC107073708; LOC107073547; LOC107073776; LOC107073765; LOC107073639	odorant receptor 10a-like; 7tm Odorant receptor; Odorant receptor	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	13	8	ENSANRG00005004439; ENSANRG00005002860; ENSANRG00005000946; ENSANRG00005001263; ENSANRG00005000960; ENSANRG00005001116; ENSANRG00005001001; ENSANRG00005003832	LOC127069930; LOC107070831	Odorant receptor; odorant receptor 10a-like	OrthoFinder orthology transfer from: Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula	2	TRUE	FALSE	
