gene_vv,symbol_vv,description_vv,genetype_vv,ntranscripts_vv,chromosome_vv,accession_vv,start_vv,stop_vv
LOC127061349,mle,maleless,PROTEIN_CODING,2,1,NC_066586.1,3108674,3113826
LOC127061352,Cad88C,cadherin-88C,PROTEIN_CODING,2,2,NC_066587.1,15105697,15123120
LOC127061354,Duox,dual oxidase,PROTEIN_CODING,3,2,NC_066587.1,14761976,14771800
LOC127061356,slo,calcium-activated potassium channel slo,PROTEIN_CODING,50,2,NC_066587.1,14814703,14893325
LOC127061357,ATPCL,ATP-citrate synthase,PROTEIN_CODING,3,1,NC_066586.1,12030072,12041868
LOC127061362,Not10,CCR4-NOT transcription complex subunit 10,PROTEIN_CODING,2,2,NC_066587.1,15735499,15739543
LOC127061369,PH4alphaEFB,prolyl 4-hydroxylase subunit alpha-1,PROTEIN_CODING,5,1,NC_066586.1,12075216,12361374
LOC127061372,Droj2,DnaJ heat shock protein family (Hsp40) member A4-like,PROTEIN_CODING,5,2,NC_066587.1,15626676,15632304
LOC127061373,mol,dual oxidase maturation factor 1 mol,PROTEIN_CODING,1,2,NC_066587.1,14771817,14775331
LOC127061380,Ppib,peptidylprolyl isomerase B (cyclophilin B),PROTEIN_CODING,1,2,NC_066587.1,15731253,15732478
LOC127061388,MFS10,major facilitator superfamily transporter 10,PROTEIN_CODING,2,1,NC_066586.1,12021720,12027032
LOC127061395,alpha-Man-Ib,alpha-Mannosidase class I b,PROTEIN_CODING,1,2,NC_066587.1,6535860,6539335
LOC127061399,Fbxl7,F-box and leucine-rich repeat protein 7,PROTEIN_CODING,1,2,NC_066587.1,6533149,6534709
LOC127061402,Tfb4,transcription factor B4,PROTEIN_CODING,2,2,NC_066587.1,6600127,6601628
LOC127061408,Cypl,peptidyl-prolyl cis-trans isomerase-like 1 Cypl,PROTEIN_CODING,3,2,NC_066587.1,6534351,6535835
LOC127061413,ABCD,ATP binding cassette subfamily D,PROTEIN_CODING,1,2,NC_066587.1,1648475,1654262
LOC127061415,Ent2,Equilibrative nucleoside transporter 2,PROTEIN_CODING,2,2,NC_066587.1,1589356,1595694
