run_name	species	source	busco_version	lineage	mode	input_file	busco_C_pct	busco_S_pct	busco_D_pct	busco_F_pct	busco_M_pct	busco_n	n_complete	n_single	n_duplicated	n_fragmented	n_missing	short_summary	full_table
Acromyrmex_echinatior_NCBI_prot_long	Acromyrmex_echinatior	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Acromyrmex_echinatior_NCBI_proteins_longest.fa	99.3	98.5	0.9	0.3	0.4	1367	1358	1346	12	4	5	busco_annotation_all/Acromyrmex_echinatior_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Acromyrmex_echinatior_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Ancistrocerus_nigricornis_ENSEMBL_prot_long	Ancistrocerus_nigricornis	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Ancistrocerus_nigricornis_ENSEMBL_proteins_longest.fa	93.5	92.1	1.4	0.6	5.9	1367	1278	1259	19	8	81	busco_annotation_all/Ancistrocerus_nigricornis_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Ancistrocerus_nigricornis_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Andrena_flavipes_ENSEMBL_prot_long	Andrena_flavipes	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Andrena_flavipes_ENSEMBL_proteins_longest.fa	97.4	96.9	0.5	0.8	1.8	1367	1331	1324	7	11	25	busco_annotation_all/Andrena_flavipes_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Andrena_flavipes_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Anoplius_nigerrimus_ENSEMBL_prot_long	Anoplius_nigerrimus	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Anoplius_nigerrimus_ENSEMBL_proteins_longest.fa	96.1	95.0	1.2	0.5	3.4	1367	1314	1298	16	7	46	busco_annotation_all/Anoplius_nigerrimus_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Anoplius_nigerrimus_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Apis_cerana_NCBI_prot_long	Apis_cerana	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Apis_cerana_NCBI_proteins_longest.fa	99.5	98.8	0.7	0.1	0.4	1367	1360	1351	9	1	6	busco_annotation_all/Apis_cerana_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Apis_cerana_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Apis_dorsata_NCBI_prot_long	Apis_dorsata	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Apis_dorsata_NCBI_proteins_longest.fa	98.5	98.2	0.4	0.7	0.8	1367	1347	1342	5	9	11	busco_annotation_all/Apis_dorsata_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Apis_dorsata_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Apis_florea_NCBI_prot_long	Apis_florea	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Apis_florea_NCBI_proteins_longest.fa	98.8	98.5	0.4	0.4	0.8	1367	1351	1346	5	5	11	busco_annotation_all/Apis_florea_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Apis_florea_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Apis_laboriosa_NCBI_prot_long	Apis_laboriosa	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Apis_laboriosa_NCBI_proteins_longest.fa	99.3	99.0	0.4	0.1	0.5	1367	1358	1353	5	2	7	busco_annotation_all/Apis_laboriosa_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Apis_laboriosa_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Apis_mellifera_NCBI_prot_long	Apis_mellifera	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Apis_mellifera_NCBI_proteins_longest.fa	99.1	98.8	0.4	0.1	0.7	1367	1355	1350	5	2	10	busco_annotation_all/Apis_mellifera_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Apis_mellifera_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Atta_cephalotes_NCBI_prot_long	Atta_cephalotes	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Atta_cephalotes_NCBI_proteins_longest.fa	98.1	97.4	0.7	0.7	1.2	1367	1341	1331	10	9	17	busco_annotation_all/Atta_cephalotes_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Atta_cephalotes_NCBI_prot_long/run_insecta_odb10/full_table.tsv
