gene_id	gene_name	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
LOC127061349	LOC127061349	3753.50053545124	3734.95462849256	3874.21270370877	3879.44880049737	3796.47132337675	3826.4420796944	3849.18661677634	3850.34566962385	3830.78404593382	3795.88831995722	3897.39786711211	3744.07261352033	3883.3650073278	3883.80748719465	3865.30302994577	3863.88806702414	3851.02895054784	3816.49065775812	3814.87098165005	3831.92740418558	3820.79901337852	3897.81941262766	3888.43515657783	3845.44443779298	3866.72220407995	3858.89088823523	3854.22966233005	3866.25204958411	3841.5076884662	3845.88071677864	3837.75369950605	3797.21973933493	3752.36607439849	3847.7654600099	3828.96371304512	3821.17781614558	3824.59111379928	3865.35481678047	3846.49278454401	3791.99162634616	3831.82121838756	3825.0962456647	3825.20035050009	3766.71503195023	3739.55466952569	3849.41055921396	3863.45031757608	3860.02057279583	3860.9388189479	3816.51064786511	3828.4418162294	3838.8328327797	3837.08920386962	3831.82040405171	3891.39090816032	3787.37587071645	3863.70965425765	3841.5578084288	3854.78731093887	3856.59824968955	3826.26629096586	3850.6835528488	3844.72580074172	3844.5807424263	3825.27377912012	3845.27985529202
LOC127061350	LOC127061350	6794.05575832334	6922.92576169594	6837.80941430702	6788.67123979744	6731.39228424876	6724.90910641019	6756.52146557787	6745.00512696602	6765.25687387461	6753.66262691744	6871.18857260482	7148.447	6774.97000038011	6788.29849085851	6728.46341714486	6750.50032189693	6745.60295917673	6772.01209593758	6760.79053855549	6792.34620766191	6741.96835035904	6751.63224580164	6752.89237904424	6739.22996857373	6721.10728805225	6733.10894870418	6735.39795400196	6745.16598748471	6723.84359591278	6735.10066418111	6765.2537320242	6898.68793806771	6834.37387466519	6819.7564948552	6778.0855753348	6762.35148922151	6755.57312071539	6755.08188784127	6739.74061536051	6744.38179805606	6781.78438421381	6756.32492237046	6733.45209357078	6770.89092111477	6726.112	6733.4997969371	6731.4690886399	6765.92280328543	6742.51555501396	6728.17977556066	6718.15960535667	6744.77607784094	6732.22603885682	6741.5142625062	6733.58165247712	6768.51690697721	6712.87304253425	6714.34815866897	6724.89901850727	6707.61662655421	6714.441	6721.26184406755	6739.66802172181	6736.09220843853	6733.31808287691	6729.63433770657
LOC127061351	LOC127061351	6267.944	6265.996	6240.582	6229.136	6226.077	6227.415	6247.212	6244.125	6256.215	6248.788	6250.741	6250.447	6224.053	6225.714	6228.595	6244.628	6243.546	6247.243	6245.666	6248.244	6258.94	6237.002	6232.557	6218.892	6231.918	6230.878	6237.522	6242.967	6220.856	6234.73	6253.717	6262.363	6252.385	6253.777	6239.791	6246.203	6228.7	6248.69	6238.834	6246.43	6256.659	6243.451	6230.738	6252.58	6258.112	6221.186	6215.912	6248.583	6244.404	6213.733	6210.872	6237.833	6236.659	6243.79	6230.84	6234.378	6220.179	6219.398	6220.585	6209.933	6212.441	6221.642	6236.757	6230.142	6238.067	6233.953
LOC127061352	LOC127061352	6523.944	6521.996	6496.582	6485.136	6482.077	6483.415	6503.212	6504.32739482935	6514.85904949251	6504.788	6506.741	6506.447	6480.053	6481.714	6484.595	6500.628	6499.546	6503.243	6501.666	6504.244	6514.94	6493.002	6488.557	6474.892	6487.918	6486.878	6493.522	6498.967	6478.67880130614	6491.29687325585	6509.717	6518.363	6508.385	6509.777	6495.791	6502.203	6484.7	6504.69	6494.834	6502.43	6512.659	6500.0623543365	6487.34196436645	6547.58	6514.112	6516.186	6471.912	6504.583	6500.404	6469.733	6466.872	6493.833	6492.659	6500.15451420063	6486.84	6490.378	6476.179	6475.398	6476.585	6465.933	6468.441	6477.642	6492.757	6486.142	6495.72681449488	6490.75706804103
LOC127061353	LOC127061353	5942.6226585089	5944.84541583161	5876.24139081836	5871.88066274061	5849.11504152698	5905.15025804227	5946.77120192932	5930.19927089004	5897.0208915805	5885.42182131705	5873.85719253825	5879.85919201018	5842.3718412831	5898.2534679004	5846.09116688738	5893.78211100686	5953.50541361667	5946.65533168438	5892.08314516122	5899.24869217148	5851.67011181133	5969.41804153948	5969.62557333537	5872.92233767329	5905.38010677771	5861.39076168917	5880.2989304161	5974.40013144323	5979.12551881622	5862.06694007124	5938.94418697608	5805.26848397798	5932.14082108449	5901.2014735978	5886.19949106107	5886.73075261505	5820.52256097316	5859.57512298445	5818.9681255842	5946.46475581401	5890.19345491753	5904.55783706096	5888.23079653932	5975.66807205535	5984.39665092403	5857.25863213887	5937.33463270753	5874.02772389784	5872.35486986457	5829.88920188287	5819.29680975527	5875.68566564415	5875.18627692863	5889.89263156816	5952.17673631185	5988.2005663993	6025.9852244282	5876.49260713521	5843.94717969427	5851.52960035812	5946.01469024723	5905.89714864831	5956.89097890633	5930.92220954904	5892.47582040895	5895.92637483765
LOC127061354	LOC127061354	4443.18007721616	4505.95401078682	4653.58696684972	4536.90299251766	4750.71997744523	4801.7172973638	5207.32696291108	5061.31003268138	4835.10173807444	4926.40945973433	4555.17495393488	4753.60663436255	5454.51162768617	5227.89767270604	5103.22049576867	5157.54620487202	4974.63585961819	4858.56319278251	4868.70732755939	4795.88300984237	4648.15280729425	4760.65462151023	4805.40797824127	4559.36871298402	4704.66896066501	5196.67279596867	5089.81147740939	5211.96598133815	5028.72212762663	4953.50324406586	4854.38715640759	4560.88517653182	4537.24520094041	4482.64223055824	4500.18017157928	4640.37419967779	4711.9384031657	4854.56282770283	4906.54855292128	4718.17822311176	4830.43007157002	4712.5803853156	5080.69389797633	4652.29190731308	4671.63711831476	4869.53548792781	4701.81456485797	5104.0097651469	4839.07417907262	4948.04896758913	5083.80885159435	5255.69374882869	5076.26183525423	5004.04657328836	4668.27954314397	4661.99322277596	5132.03079394328	4746.73669603847	5155.63371623238	5260.58702223742	4985.08367984483	5401.48728766788	5302.51053410869	5140.46865077663	4852.85236192231	4979.51501409212
LOC127061355	LOC127061355	5743.944	5741.996	5716.582	5705.136	5702.077	5703.415	5723.212	5720.125	5732.215	5724.788	5726.741	5726.447	5700.053	5701.714	5704.595	5720.628	5719.546	5723.243	5721.666	5724.244	5734.94	5713.002	5708.557	5694.892	5707.918	5706.878	5713.522	5718.967	5696.856	5710.73	5729.717	5738.363	5728.385	5729.777	5715.791	5722.203	5704.7	5724.69	5714.834	5722.43	5732.659	5719.451	5706.738	5728.58	5734.112	5697.186	5691.912	5724.583	5720.404	5689.733	5686.872	5713.833	5712.659	5719.79	5706.84	5710.378	5696.179	5695.398	5696.585	5685.933	5688.441	5697.642	5712.757	5706.142	5714.067	5709.953
LOC127061356	LOC127061356	12913.2296551439	12935.956289604	12975.9772859653	12981.4330964116	12978.0240259468	12957.937563566	12975.472690248	12955.3223583592	12980.0187932157	12984.5562344496	12932.4330180275	12916.447	12946.4169955345	12921.9275491367	12967.8261556922	12975.5445649717	12981.9317666105	12981.5603141059	12983.9415901726	12951.326289361	12924.94	12910.7070008687	13075.2408952883	12945.1925056748	12946.1034226711	12962.1004022309	12953.053563708	12975.1645433231	12950.3645259419	12961.9044096955	12975.7422784268	12896.8269742956	12935.4565427835	13002.5375092542	12984.9032914086	13008.3202239632	12937.7533297774	12971.2825995391	12947.2723552809	12929.2253626654	12967.5007413681	12964.4432239291	12951.0911387033	12924.58	12982.5238188073	12946.3169525285	12922.3260771493	12959.4837168773	12960.5769704723	12951.3022080749	12932.1405707508	13004.7800539379	12943.2908936215	12977.3335300974	12956.0131665332	12918.378	12951.2539034749	12952.950575752	12936.0980451849	12953.905103368	12938.6852375353	12945.8450178393	12986.7857085424	12925.4476957608	12967.4671457772	12962.4741345868
LOC127061357	LOC127061357	3875.59099891891	3869.87166396523	3885.81847337902	3872.93642176193	3852.00667029381	3851.40876278094	3888.93490555813	3888.47603265802	3906.83105397742	3899.58902140382	3899.95307902176	3845.03566893434	3869.14436918263	3873.37127962609	3852.14293375721	3884.94129936128	3882.10120287137	3897.23353803421	3896.10698770767	3862.90650468113	3864.35784835536	3875.98503489399	3870.80029450987	3836.81856184989	3873.6667125163	3849.55443049546	3859.35430751531	3882.56815784091	3858.50422209181	3879.32629257088	3904.04432026168	3872.53159639068	3852.19081619031	3892.38357574433	3878.27648450383	3879.07902734355	3866.84889361932	3865.9827485381	3858.36625373168	3873.47477378272	3886.82354538256	3886.2438245004	3863.96995088101	3848.04291553985	3860.41500584071	3849.90064154919	3854.44771910764	3870.51790218593	3865.82804672199	3832.61292057259	3832.38947621473	3868.12700665112	3885.54396364879	3890.3531534992	3861.3310661098	3846.90887048623	3849.23191673194	3837.68132751905	3841.53261593313	3829.76335381681	3831.36625184947	3840.64888798324	3870.18349937132	3867.23943023689	3885.22013021328	3876.99010015947
LOC127061358	LOC127061358	3997.944	3995.996	3970.582	3959.136	3956.077	3957.415	3977.212	3974.125	3986.215	3978.788	3980.741	3980.447	3954.053	3955.714	3958.595	3974.628	3973.546	3977.243	3975.666	3978.244	3988.94	3967.002	3962.557	3948.892	3961.918	3960.878	3967.522	3972.967	3950.856	3964.73	3983.717	3992.363	3982.385	3983.777	3969.791	3976.203	3958.7	3978.69	3968.834	3976.43	3986.659	3973.451	3960.738	3982.58	3988.112	3951.186	3945.912	3978.583	3974.404	3943.733	3940.872	3967.833	3966.659	3973.79	3960.84	3964.378	3950.179	3949.398	3950.585	3939.933	3942.441	3951.642	3966.757	3960.142	3968.067	3963.953
