Orthogroup	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean
OG0020254																																								ENSBXKG00010012499																																
OG0020255																																																											M0804_007289													
OG0020256																																	Dmel_CG32603																																							
OG0020257																																																														QLX08_003135										
OG0020258																																																																					ENSVGEG00000010450			
OG0020259			ENSUQBG00000009115																																																																					
OG0020260			ENSUQBG00000013734																																																																					
OG0020261			ENSUQBG00000002037																																																																					
OG0020262					LOC108001078																																																																			
OG0020263																																																																	LOC122415743							
OG0020264																									CELE_Y51H7C.3																																															
OG0020265																																																																LOC103313941								
OG0020266																																				BRAKERXMBG00000005329																																				
OG0020267																																																											M0804_001661													
OG0020268																																				BRAKERXMBG00000003454																																				
OG0020269																																															K0M31_007466																									
OG0020270			ENSUQBG00000007277																																																																					
OG0020271																				ENSBPTG00005016985																																																				
OG0020272																									CELE_Y76A2A.1																																															
OG0020273																																				BRAKERXMBG00000004251																																				
OG0020274																		ENSAMQG00000006480																																																						
OG0020275																																																																								LOC143428216
OG0020276																																																WN51_11058																								
OG0020277																																																									LOC106791347															
OG0020278																																										ENSLMRG00010012950																														
OG0020279																									CELE_C30H6.9																																															
OG0020280																																																WN51_01273																								
OG0020281																									CELE_H03G16.6																																															
OG0020282																																				BRAKERXMBG00000016550																																				
OG0020283				ENSANGG00005019581																																																																				
OG0020284																																																WN51_10915																								
OG0020285																						LOC105665895																																																		
OG0020286																																				BRAKERXMBG00000012664																																				
OG0020287																																																											M0804_009401													
OG0020288																																				BRAKERXMBG00000014413																																				
OG0020289																																																			LOC100678229																					
OG0020290			ENSUQBG00000013518																																																																					
OG0020291			ENSUQBG00000003939																																																																					
OG0020292																																																WN51_13979																								
OG0020293																																												ENSMEOG00010001561																												
OG0020294																																															K0M31_020314																									
OG0020295			ENSUQBG00000013325																																																																					
OG0020296																																				BRAKERXMBG00000015296																																				
OG0020297																																												ENSMEOG00010005808																												
OG0020298	LOC105144078																																																																							
OG0020299			ENSUQBG00000012827																																																																					
OG0020300																									CELE_C05C12.3																																															
OG0020301																																									ENSLLVG00000002394																															
OG0020302																																		LOC107192659																																						
OG0020303																																																WN51_07891																								
OG0020304																									CELE_C50F4.4																																															
OG0020305																																																WN51_03457																								
OG0020306																ENSXCVG00005003074																																																								
OG0020307			ENSUQBG00000000746																																																																					
OG0020308																																																	M0802_005272																							
OG0020309																																				BRAKERXMBG00000004192																																				
OG0020310																																	Dmel_CG43886																																							
OG0020311		ENSANRG00005001268																																																																						
OG0020312																																				BRAKERXMBG00000008628																																				
OG0020313																																				BRAKERXMBG00000014603																																				
OG0020314			ENSUQBG00000003693																																																																					
OG0020315																																				BRAKERXMBG00000009979																																				
OG0020316																						LOC125385681																																																		
OG0020317																																																											M0804_008849													
OG0020318																																				BRAKERXMBG00000019400																																				
OG0020319																																									ENSLLVG00000001089																															
OG0020320																																																WN51_11931																								
OG0020321																																	Dmel_CG45064																																							
OG0020322																									CELE_C33A12.19																																															
OG0020323																									CELE_C33D9.10																																															
OG0020324																																	Dmel_CG32356																																							
OG0020325																																																														QLX08_011565										
OG0020326																																																								ENSPLGG00000009222																
OG0020327																																				BRAKERXMBG00000002911																																				
OG0020328																									CELE_B0250.7																																															
OG0020329																																				BRAKERXMBG00000004713																																				
OG0020330			ENSUQBG00000012521																																																																					
OG0020331																																																																					ENSVGEG00000004094			
OG0020332																									CELE_C13C4.7																																															
OG0020333																																																	M0802_011589																							
OG0020334																																				BRAKERXMBG00000017834																																				
OG0020335																																																WN51_03119																								
OG0020336			ENSUQBG00000011543																																																																					
OG0020337			ENSUQBG00000002449																																																																					
OG0020338			ENSUQBG00000013324																																																																					
OG0020339																																																		LOC118645311																						
OG0020340	LOC105153452																																																																							
OG0020341																									CELE_C18D1.3																																															
OG0020342																																																WN51_01808																								
OG0020343																																															K0M31_003682																									
OG0020344														ENSBHYG00000000165																																																										
