HOG	OG	gene_tree_parent_clade	change_node_130	branch_p_node_130	category_node_130	expanded_node_130	significantly_expanded_node_130	contracted_node_130	significantly_contracted_node_130	change_node_131	branch_p_node_131	category_node_131	expanded_node_131	significantly_expanded_node_131	contracted_node_131	significantly_contracted_node_131	change_node_135	branch_p_node_135	category_node_135	expanded_node_135	significantly_expanded_node_135	contracted_node_135	significantly_contracted_node_135	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	n_max	n_min	n_mean	differential	discarded_nonconverged	tested_in_final_cafe_model	large_family_model_attempted	exclusion_detail	chemosensory_family_flag
N0.HOG0000002	OG0000000	n2871																						transposable-element/reverse-transcriptase family	conservative keyword family rule	Putative peptidase (DUF1758); Pao retrotransposon peptidase	0					0	4	LOC107068641; LOC107074376; LOC107073766; LOC107073686	LOC107068641; LOC107074376; LOC107073766; LOC107073686	Putative peptidase (DUF1758); Pao retrotransposon peptidase	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	4	1	ENSANRG00005010474				0	65	1	10.3559322033898	64	TRUE	FALSE	TRUE	Retained after root-copy filtering, but the separate large-family CAFE model failed to initialize/converge	FALSE
N0.HOG0000003	OG0000001	n0																						odorant receptor family	conservative keyword family rule	odorant receptor 13a-like; odorant receptor 82a-like; odorant receptor 43a-like; odorant receptor 4-like; odorant receptor 67c-like; Odorant receptor; odorant receptor 22c-like; 7tm Odorant receptor	11	LOC127071467; LOC127071254; LOC127071242; LOC127071256; LOC127071253; LOC127071459; LOC127071461; LOC127071243; LOC127071469; LOC127071468; LOC127071466	LOC127071467; LOC127071254; LOC127071242; LOC127071256; LOC127071253; LOC127071459; LOC127071461; LOC127071243; LOC127071469; LOC127071468; LOC127071466	odorant receptor 13a-like; odorant receptor 82a-like; odorant receptor 43a-like; odorant receptor 4-like; odorant receptor 67c-like; Odorant receptor; odorant receptor 22c-like	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	11	19	LOC107067912; LOC107067959; LOC107067907; LOC107067908; LOC107067981; LOC107067906; LOC107067918; LOC107068019; LOC107068018; LOC107067917; LOC107067916; LOC107067911; LOC107067955; LOC107067913; LOC107067914; LOC107067915; LOC107067909; LOC107067910; LOC107067957	LOC107067912; LOC107067959; LOC107067907; LOC107067908; LOC107067981; LOC107067906; LOC107067918; LOC107068019; LOC107068018; LOC107067917; LOC107067916; LOC107067911; LOC107067955; LOC107067913; LOC107067914; LOC107067915; LOC107067909; LOC107067910; LOC107067957	7tm Odorant receptor; odorant receptor 22c-like; odorant receptor 43a-like; odorant receptor 13a-like; Odorant receptor; odorant receptor 22b-like; odorant receptor 4-like	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: pd_genetable.csv	19	14	ENSANRG00005003828; ENSANRG00005009915; ENSANRG00005009973; ENSANRG00005009976; ENSANRG00005003939; ENSANRG00005005096; ENSANRG00005003896; ENSANRG00005004688; ENSANRG00005003116; ENSANRG00005004448; ENSANRG00005004303; ENSANRG00005003461; ENSANRG00005003261; ENSANRG00005004029	LOC107067912; LOC127071467; LOC107067906; LOC107067981; LOC127071253; LOC127071256; LOC107067918; LOC107067917; LOC107068018; LOC127071459; LOC107067916; LOC127071461; LOC107067911; LOC127071243; LOC107067955; LOC127071469; LOC107067915; LOC107067914; LOC107067910	7tm Odorant receptor; odorant receptor 13a-like; odorant receptor 13a-like; 7tm Odorant receptor; odorant receptor 4-like; 7tm Odorant receptor; 7tm Odorant receptor; Odorant receptor; odorant receptor 67c-like; odorant receptor 22b-like; odorant receptor 4-like; odorant receptor 4-like; Odorant receptor; odorant receptor 13a-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula; OrthoFinder orthology transfer from: Vespula_vulgaris	14	55	1	25.1029411764706	54	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	TRUE
N0.HOG0000004	OG0000002	n0																						odorant receptor family	conservative keyword family rule	7tm Odorant receptor; odorant receptor 13a-like; odorant receptor 83a-like; odorant receptor 63a-like; odorant receptor 4-like; odorant receptor 67c-like; Odorant receptor; odorant receptor 22c-like	22	LOC127066200; LOC127072203; LOC127063878; LOC127063876; LOC127063989; LOC127063875; LOC127065411; LOC127068535; LOC127070495; LOC127070540; LOC127070492; LOC127070494; LOC127063998; LOC127063863; LOC127070543; LOC127070539; LOC127070541; LOC127070542; LOC127068900; LOC127068416; LOC127067563; LOC127070876	LOC127066200; LOC127072203; LOC127063878; LOC127063876; LOC127063989; LOC127063875; LOC127065411; LOC127068535; LOC127070495; LOC127070540; LOC127070492; LOC127070494; LOC127063998; LOC127063863; LOC127070543; LOC127070539; LOC127070541; LOC127070542; LOC127068900; LOC127068416; LOC127067563; LOC127070876	7tm Odorant receptor; odorant receptor 13a-like; odorant receptor 83a-like; odorant receptor 63a-like; odorant receptor 4-like; odorant receptor 67c-like; Odorant receptor; odorant receptor 22c-like	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: vv_genetable.csv	22	15	LOC107068954; LOC107063844; LOC107073352; LOC107068956; LOC107068955; LOC107063630; LOC107067508; LOC107071107; LOC107071095; LOC107071096; LOC107063660; LOC107064592; LOC107071097; LOC107071105; LOC107071106	LOC107068954; LOC107063844; LOC107073352; LOC107068956; LOC107068955; LOC107063630; LOC107067508; LOC107071107; LOC107071095; LOC107071096; LOC107063660; LOC107064592; LOC107071097; LOC107071105; LOC107071106	putative odorant receptor 85e; 7tm Odorant receptor; odorant receptor 22c-like; odorant receptor 13a-like; odorant receptor 9a-like; Odorant receptor; odorant receptor 4-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	15	25	ENSANRG00005002063; ENSANRG00005001544; ENSANRG00005004654; ENSANRG00005001358; ENSANRG00005000016; ENSANRG00005004155; ENSANRG00005002183; ENSANRG00005001713; ENSANRG00005002027; ENSANRG00005004315; ENSANRG00005003049; ENSANRG00005002151; ENSANRG00005004226; ENSANRG00005004570; ENSANRG00005007542; ENSANRG00005003563; ENSANRG00005002093; ENSANRG00005008482; ENSANRG00005007797; ENSANRG00005007992; ENSANRG00005007811; ENSANRG00005006697; ENSANRG00005003463; ENSANRG00005004127; ENSANRG00005004285	LOC107063844; LOC127066200; LOC107073352; LOC127072203; LOC107068954; LOC107068955; LOC107068956; LOC127063876; LOC127063878; LOC127063989; LOC127063998; LOC127063875; LOC107067508; LOC127068535; LOC107071095; LOC107071096; LOC107071097; LOC107071106; LOC127070492; LOC127070494; LOC127070543; LOC107063660; LOC107071105; LOC127070495; LOC127070539; LOC127070540; LOC107071107; LOC127070542; LOC127067563; LOC127070876; LOC107066993; LOC127068900; LOC127064791	7tm Odorant receptor; odorant receptor 22c-like; odorant receptor 13a-like; putative odorant receptor 85e; 7tm Odorant receptor; odorant receptor 13a-like; odorant receptor 13a-like; Odorant receptor; odorant receptor 83a-like; Odorant receptor; odorant receptor 13a-like; odorant receptor 4-like; 7tm Odorant receptor; odorant receptor 67c-like; odorant receptor 9a-like; 7tm Odorant receptor; odorant receptor 4-like; odorant receptor 4-like; odorant receptor 22c-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula	17	55	1	23.1617647058824	54	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	TRUE
N0.HOG0000009	OG0000003	n830																						histone-lysine N-methyltransferase SETMAR-like	weighted recurring annotation	histone-lysine N-methyltransferase SETMAR-like	0					0	9	LOC107073644; LOC107066347; LOC107073259; LOC107070702; LOC107065351; LOC107071469; LOC107068963; LOC107073674; LOC107072866	LOC107073644; LOC107066347; LOC107073259; LOC107070702; LOC107065351; LOC107071469; LOC107068963; LOC107073674; LOC107072866	histone-lysine N-methyltransferase SETMAR-like	NCBI: pd_genetable.csv	9	1	ENSANRG00005006323				0	53	1	10.5818181818182	52	TRUE	FALSE	TRUE	Retained after root-copy filtering, but the separate large-family CAFE model failed to initialize/converge	FALSE
N0.HOG0000017	OG0000004	n246																						transposable-element/reverse-transcriptase family	conservative keyword family rule	Zinc knuckle; Integrase core domain; retrotransposable element Tf2 155 kDa protein type 1-like	0					0	2	LOC107073515; LOC107072265	LOC107073515; LOC107072265	Zinc knuckle	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	17	ENSANRG00005003937; ENSANRG00005008880; ENSANRG00005008962; ENSANRG00005010839; ENSANRG00005010052; ENSANRG00005004679; ENSANRG00005009321; ENSANRG00005009000; ENSANRG00005008964; ENSANRG00005008601; ENSANRG00005005491; ENSANRG00005004650; ENSANRG00005010997; ENSANRG00005004189; ENSANRG00005005543; ENSANRG00005004603; ENSANRG00005001855	LOC107073349; LOC107073350	Integrase core domain; retrotransposable element Tf2 155 kDa protein type 1-like	OrthoFinder orthology transfer from: Polistes_dominula	2	62	1	14.7460317460317	61	TRUE	FALSE	TRUE	Retained after root-copy filtering, but the separate large-family CAFE model failed to initialize/converge	FALSE
N0.HOG0000018	OG0000005	n0																						transposable-element/reverse-transcriptase family	conservative keyword family rule	retrotransposable element Tf2 155 kDa protein type 1-like	0					0	14	LOC107070923; LOC107073775; LOC107073225; LOC107066476; LOC107070922; LOC107063849; LOC107073726; LOC107069469; LOC107070460; LOC107073435; LOC107073736; LOC107074252; LOC107073386; LOC107073791	LOC107070923; LOC107073775; LOC107073225; LOC107066476; LOC107070922; LOC107063849; LOC107073726; LOC107069469; LOC107070460; LOC107073435; LOC107073736; LOC107074252; LOC107073386; LOC107073791	retrotransposable element Tf2 155 kDa protein type 1-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	14	0					0	56	1	17.5454545454545	55	TRUE	FALSE	TRUE	Retained after root-copy filtering, but the separate large-family CAFE model failed to initialize/converge	FALSE
N0.HOG0000022	OG0000008	n1																						zinc-finger protein family	conservative keyword family rule	zinc finger protein 845-like; zinc finger protein 449-like; zinc finger Y-chromosomal protein-like; longitudinals lacking protein-like; zinc finger protein 254-like; zinc finger protein 513-like; adult enhancer factor 1-like; zinc finger protein 425-like	12	LOC127068527; LOC127068528; LOC127068530; LOC127068470; LOC127068456; LOC127068473; LOC127068457; LOC127068532; LOC127068531; LOC127068534; LOC127068533; LOC127068472	LOC127068527; LOC127068528; LOC127068530; LOC127068470; LOC127068456; LOC127068473; LOC127068457; LOC127068532; LOC127068531; LOC127068534; LOC127068533; LOC127068472	zinc finger protein 845-like; zinc finger protein 449-like; zinc finger Y-chromosomal protein-like; longitudinals lacking protein-like; zinc finger protein 254-like; zinc finger protein 513-like; adult enhancer factor 1-like; zinc finger protein 425-like; zinc finger protein 568-like; zinc finger protein 343-like; zinc finger protein 57-like; protein krueppel-like	NCBI: vv_genetable.csv	12	13	LOC107067516; LOC107067528; LOC107067513; LOC107067530; LOC107067529; LOC107067523; LOC107067514; LOC107067531; LOC107067517; LOC107067526; LOC107067515; LOC107067518; LOC107067527	LOC107067516; LOC107067528; LOC107067513; LOC107067530; LOC107067529; LOC107067523; LOC107067514; LOC107067531; LOC107067517; LOC107067526; LOC107067515; LOC107067518; LOC107067527	zinc finger protein interacting with ribonucleoprotein K-like; zinc finger protein 263-like; transcriptional regulator of yeast form adherence 4-like; longitudinals lacking protein; zinc finger X-chromosomal protein-like; POU domain, class 3, transcription factor 2-like; gastrula zinc finger protein XlCGF8.2DB-like; zinc finger protein 468-like; zinc finger protein 768-like; zinc finger protein 585B-like; zinc finger protein 2 homolog; zinc finger protein squeeze-like	NCBI: pd_genetable.csv	13	9	ENSANRG00005004970; ENSANRG00005004459; ENSANRG00005004783; ENSANRG00005004282; ENSANRG00005004774; ENSANRG00005005124; ENSANRG00005004043; ENSANRG00005005013; ENSANRG00005004052	LOC107067515; LOC107067516; LOC127068531; LOC107067523; CG11398	zinc finger protein 585B-like; zinc finger protein interacting with ribonucleoprotein K-like; zinc finger protein 568-like; POU domain, class 3, transcription factor 2-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula; OrthoFinder orthology transfer from: Drosophila_melanogaster	3	57	1	12.5970149253731	56	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000032	OG0000011	n0																						transposable-element/reverse-transcriptase family	conservative keyword family rule	piggyBac transposable element-derived protein 4-like; piggyBac transposable element-derived protein 2-like; piggyBac transposable element-derived protein 1-like	2	LOC127064798; LOC127061365	LOC127064798; LOC127061365	piggyBac transposable element-derived protein 4-like	NCBI: vv_genetable.csv	2	32	LOC107073788; LOC107071717; LOC107073514; LOC107073706; LOC107073551; LOC107073764; LOC107073790; LOC107073508; LOC107073444; LOC107063626; LOC107073562; LOC107073975; LOC107073476; LOC107073418; LOC107073487; LOC107068382; LOC107068755; LOC107071369; LOC107065790; LOC107073554; LOC107073753; LOC107067008; LOC107065788; LOC107065789; LOC107073506; LOC107071450; LOC107072411; LOC107066952; LOC107073178; LOC107073177; LOC107063654; LOC107072298	LOC107073788; LOC107071717; LOC107073514; LOC107073706; LOC107073551; LOC107073764; LOC107073790; LOC107073508; LOC107073444; LOC107063626; LOC107073562; LOC107073975; LOC107073476; LOC107073418; LOC107073487; LOC107068382; LOC107068755; LOC107071369; LOC107065790; LOC107073554; LOC107073753; LOC107067008; LOC107065788; LOC107065789; LOC107073506; LOC107071450; LOC107072411; LOC107066952; LOC107073178; LOC107073177; LOC107063654; LOC107072298	piggyBac transposable element-derived protein 4-like; piggyBac transposable element-derived protein 2-like; piggyBac transposable element-derived protein 1-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	32	1	ENSANRG00005010703	LOC107073514; LOC127064798	piggyBac transposable element-derived protein 4-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	57	1	12.030303030303	56	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000038	OG0000015	n0																						Ribonuclease H protein	weighted recurring annotation	Ribonuclease H protein	0					0	3	LOC107073752; LOC107073258; LOC107073796	LOC107073752; LOC107073258; LOC107073796	Ribonuclease H protein	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: pd_genetable.csv	3	0					0	99	1	13.4528301886792	98	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000041	OG0000018	n0																						transposable-element/reverse-transcriptase family	conservative keyword family rule	Endonuclease-reverse transcriptase	0					0	2	LOC107072267; LOC107073598	LOC107072267; LOC107073598	Endonuclease-reverse transcriptase	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	1	ENSANRG00005002021				0	76	1	11.2241379310345	75	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
