#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
XP_015175275.1|gene=LOC107063613|XP_015175275.1	132113.XP_003490685.1	5.97e-194	572.0	KOG3656@1|root,KOG3656@2759|Eukaryota,39535@33154|Opisthokonta,3BGH7@33208|Metazoa,3CR94@33213|Bilateria,41UWA@6656|Arthropoda,3SGS5@50557|Insecta,46KAD@7399|Hymenoptera	33208|Metazoa	T	Serpentine type 7TM GPCR chemoreceptor Srw	NMUR1	GO:0000166,GO:0001101,GO:0001607,GO:0001653,GO:0001882,GO:0001883,GO:0002021,GO:0002023,GO:0003008,GO:0003012,GO:0003674,GO:0004888,GO:0004930,GO:0005215,GO:0005216,GO:0005229,GO:0005253,GO:0005254,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006820,GO:0006821,GO:0006869,GO:0006873,GO:0006874,GO:0006875,GO:0006936,GO:0006937,GO:0006939,GO:0006940,GO:0006950,GO:0007154,GO:0007165,GO:0007186,GO:0007200,GO:0007202,GO:0007204,GO:0007218,GO:0007267,GO:0007275,GO:0007399,GO:0007417,GO:0007589,GO:0007610,GO:0007625,GO:0007631,GO:0008150,GO:0008188,GO:0008509,GO:0008528,GO:0009269,GO:0009414,GO:0009415,GO:0009605,GO:0009628,GO:0009987,GO:0009991,GO:0010035,GO:0010517,GO:0010518,GO:0010863,GO:0010876,GO:0010959,GO:0015075,GO:0015103,GO:0015108,GO:0015267,GO:0015318,GO:0015698,GO:0015711,GO:0015718,GO:0015849,GO:0015908,GO:0015909,GO:0016020,GO:0016021,GO:0016323,GO:0017076,GO:0019001,GO:0019722,GO:0019725,GO:0019932,GO:0022803,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0023052,GO:0030001,GO:0030003,GO:0031224,GO:0031226,GO:0031644,GO:0031667,GO:0031668,GO:0032309,GO:0032429,GO:0032430,GO:0032431,GO:0032501,GO:0032502,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032879,GO:0033036,GO:0033218,GO:0033554,GO:0033555,GO:0034220,GO:0035556,GO:0035639,GO:0036094,GO:0038023,GO:0042221,GO:0042277,GO:0042592,GO:0042631,GO:0042755,GO:0042923,GO:0042924,GO:0043006,GO:0043085,GO:0043167,GO:0043168,GO:0043269,GO:0043270,GO:0044057,GO:0044093,GO:0044425,GO:0044459,GO:0044464,GO:0046717,GO:0046903,GO:0046942,GO:0048016,GO:0048265,GO:0048518,GO:0048731,GO:0048856,GO:0048878,GO:0050482,GO:0050789,GO:0050790,GO:0050794,GO:0050801,GO:0050878,GO:0050896,GO:0051049,GO:0051050,GO:0051179,GO:0051234,GO:0051239,GO:0051336,GO:0051345,GO:0051480,GO:0051716,GO:0051924,GO:0051928,GO:0051930,GO:0051931,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0060089,GO:0060191,GO:0060193,GO:0061778,GO:0065007,GO:0065008,GO:0065009,GO:0070838,GO:0070887,GO:0071214,GO:0071229,GO:0071462,GO:0071465,GO:0071496,GO:0071702,GO:0071715,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0090257,GO:0097159,GO:0097367,GO:0098590,GO:0098656,GO:0098660,GO:0098661,GO:0098771,GO:0104004,GO:1900274,GO:1901265,GO:1901363,GO:1901571,GO:1901700,GO:1901701,GO:1902476,GO:1903963	-	ko:K05052,ko:K05053	ko04080,map04080	-	-	-	ko00000,ko00001,ko04030	-	-	-	7tm_1
XP_015171437.1|gene=LOC107063614|XP_015171437.1	7425.NV18243-PA	2.73e-07	58.2	KOG1952@1|root,KOG1952@2759|Eukaryota,38HDB@33154|Opisthokonta,3BH4Q@33208|Metazoa,3D1E0@33213|Bilateria,41TH0@6656|Arthropoda,3SIT9@50557|Insecta,46GP5@7399|Hymenoptera	33208|Metazoa	O	R3H domain	NFX1	GO:0000122,GO:0000976,GO:0000977,GO:0000981,GO:0000982,GO:0001012,GO:0001067,GO:0001078,GO:0001227,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0006950,GO:0006952,GO:0006954,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016020,GO:0016032,GO:0016070,GO:0016740,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045346,GO:0045347,GO:0045892,GO:0045934,GO:0046483,GO:0046872,GO:0046914,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051704,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2001141	-	ko:K12236	ko05165,map05165	-	-	-	ko00000,ko00001,ko03000,ko04121	-	-	-	R3H,zf-NF-X1
XP_015171047.1|gene=LOC107063615|XP_015171047.1	7460.GB47977-PA	0.0	4896.0	KOG0613@1|root,KOG1181@1|root,KOG1216@1|root,KOG4240@1|root,KOG4475@1|root,KOG0613@2759|Eukaryota,KOG1181@2759|Eukaryota,KOG1216@2759|Eukaryota,KOG4240@2759|Eukaryota,KOG4475@2759|Eukaryota,38BAS@33154|Opisthokonta,3B9IR@33208|Metazoa,3CRJW@33213|Bilateria,41TW3@6656|Arthropoda,3SJ0H@50557|Insecta,46DWX@7399|Hymenoptera	33208|Metazoa	T	Repeat of unknown function (DUF1136)	sls	GO:0000070,GO:0000228,GO:0000278,GO:0000280,GO:0000768,GO:0000793,GO:0000794,GO:0000819,GO:0002682,GO:0003674,GO:0003779,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005856,GO:0005859,GO:0005863,GO:0006323,GO:0006949,GO:0006996,GO:0007010,GO:0007049,GO:0007059,GO:0007062,GO:0007076,GO:0007275,GO:0007498,GO:0007517,GO:0007519,GO:0007520,GO:0007522,GO:0007525,GO:0008092,GO:0008150,GO:0008307,GO:0009653,GO:0009888,GO:0009987,GO:0010927,GO:0014706,GO:0014902,GO:0015629,GO:0016043,GO:0016203,GO:0016459,GO:0016460,GO:0022402,GO:0022607,GO:0030016,GO:0030017,GO:0030018,GO:0030029,GO:0030036,GO:0030154,GO:0030239,GO:0030261,GO:0031032,GO:0031674,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032982,GO:0032989,GO:0032991,GO:0035206,GO:0036379,GO:0040011,GO:0042127,GO:0042692,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043292,GO:0044085,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0045214,GO:0048285,GO:0048468,GO:0048513,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0051146,GO:0051239,GO:0051276,GO:0055001,GO:0055002,GO:0060537,GO:0060538,GO:0061061,GO:0065007,GO:0070013,GO:0070925,GO:0071103,GO:0071840,GO:0097435,GO:0098813,GO:0099080,GO:0099081,GO:0099512,GO:0140014,GO:1903047	2.7.11.1	ko:K12567	ko05410,ko05414,map05410,map05414	-	-	-	ko00000,ko00001,ko01000,ko01001,ko04131,ko04147,ko04812	-	-	-	DUF1136,I-set,Ig_3,Pkinase,SH3_1,SH3_9,fn3
XP_015171011.1|gene=LOC107063618|XP_015171011.1	132113.XP_003492213.1	6.57e-28	128.0	COG4886@1|root,KOG4641@2759|Eukaryota,39Z7Y@33154|Opisthokonta,3BKD5@33208|Metazoa,3CWKH@33213|Bilateria,41VSD@6656|Arthropoda,3SGRE@50557|Insecta,46HYI@7399|Hymenoptera	33208|Metazoa	T	Toll - interleukin 1 - resistance	Tl	GO:0000578,GO:0002164,GO:0002225,GO:0002229,GO:0002239,GO:0002376,GO:0002520,GO:0002682,GO:0002684,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002759,GO:0002760,GO:0002784,GO:0002786,GO:0002788,GO:0002803,GO:0002804,GO:0002805,GO:0002807,GO:0002808,GO:0002810,GO:0002831,GO:0002833,GO:0002920,GO:0002922,GO:0003002,GO:0003674,GO:0004888,GO:0005102,GO:0005121,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005886,GO:0006355,GO:0006357,GO:0006935,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0006963,GO:0006967,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007352,GO:0007389,GO:0007399,GO:0007416,GO:0007507,GO:0007525,GO:0007526,GO:0008037,GO:0008038,GO:0008039,GO:0008063,GO:0008150,GO:0008283,GO:0009605,GO:0009607,GO:0009617,GO:0009620,GO:0009790,GO:0009791,GO:0009798,GO:0009880,GO:0009889,GO:0009891,GO:0009893,GO:0009897,GO:0009950,GO:0009953,GO:0009986,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0012505,GO:0015026,GO:0016020,GO:0016043,GO:0016201,GO:0019219,GO:0019222,GO:0019730,GO:0019732,GO:0019899,GO:0019900,GO:0019901,GO:0019904,GO:0019955,GO:0022008,GO:0022607,GO:0023052,GO:0030097,GO:0030154,GO:0030182,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031347,GO:0031349,GO:0031410,GO:0031982,GO:0032101,GO:0032103,GO:0032153,GO:0032154,GO:0032155,GO:0032501,GO:0032502,GO:0032991,GO:0034248,GO:0034250,GO:0035007,GO:0035172,GO:0038023,GO:0040011,GO:0042221,GO:0042330,GO:0042742,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043455,GO:0043900,GO:0043902,GO:0044085,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045087,GO:0045088,GO:0045595,GO:0045610,GO:0045893,GO:0045935,GO:0045944,GO:0045995,GO:0048468,GO:0048513,GO:0048518,GO:0048522,GO:0048534,GO:0048569,GO:0048583,GO:0048584,GO:0048666,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050776,GO:0050778,GO:0050789,GO:0050793,GO:0050794,GO:0050808,GO:0050830,GO:0050832,GO:0050896,GO:0050919,GO:0051171,GO:0051173,GO:0051239,GO:0051252,GO:0051254,GO:0051704,GO:0051707,GO:0051716,GO:0060089,GO:0060255,GO:0061061,GO:0065007,GO:0070976,GO:0071840,GO:0071944,GO:0072359,GO:0080090,GO:0080134,GO:0097708,GO:0098542,GO:0098552,GO:0098590,GO:1900150,GO:1900424,GO:1900426,GO:1902680,GO:1902875,GO:1903506,GO:1903508,GO:2000026,GO:2000112,GO:2001141	-	ko:K18809	ko04624,map04624	M00686	-	-	ko00000,ko00001,ko00002	-	-	-	LRRNT,LRR_5,LRR_8,TIR
XP_015171012.1|gene=LOC107063619|XP_015171012.1	7460.GB48811-PA	1.26e-263	741.0	COG0513@1|root,KOG0335@2759|Eukaryota,38IV8@33154|Opisthokonta,3BEF3@33208|Metazoa,3CUJS@33213|Bilateria,41U49@6656|Arthropoda,3SHUR@50557|Insecta,46FFH@7399|Hymenoptera	33208|Metazoa	A	helicase superfamily c-terminal domain	DDX3X	GO:0000003,GO:0000070,GO:0000166,GO:0000278,GO:0000280,GO:0000819,GO:0001558,GO:0001775,GO:0001817,GO:0001819,GO:0001932,GO:0001934,GO:0002164,GO:0002165,GO:0002168,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003678,GO:0003723,GO:0003724,GO:0003725,GO:0003727,GO:0003729,GO:0003824,GO:0003924,GO:0004003,GO:0004004,GO:0004386,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005829,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006412,GO:0006413,GO:0006417,GO:0006446,GO:0006518,GO:0006725,GO:0006807,GO:0006810,GO:0006887,GO:0006915,GO:0006950,GO:0006952,GO:0006955,GO:0006970,GO:0006996,GO:0007049,GO:0007059,GO:0007154,GO:0007165,GO:0007166,GO:0007267,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007292,GO:0007346,GO:0007431,GO:0007435,GO:0007530,GO:0007552,GO:0008026,GO:0008047,GO:0008094,GO:0008104,GO:0008134,GO:0008143,GO:0008144,GO:0008150,GO:0008152,GO:0008186,GO:0008190,GO:0008219,GO:0008625,GO:0009058,GO:0009059,GO:0009605,GO:0009607,GO:0009615,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009791,GO:0009886,GO:0009887,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010033,GO:0010466,GO:0010467,GO:0010468,GO:0010494,GO:0010501,GO:0010556,GO:0010557,GO:0010558,GO:0010562,GO:0010564,GO:0010604,GO:0010605,GO:0010608,GO:0010623,GO:0010628,GO:0010629,GO:0010646,GO:0010647,GO:0010648,GO:0010941,GO:0010942,GO:0010950,GO:0010951,GO:0010952,GO:0012501,GO:0012502,GO:0012505,GO:0014070,GO:0016020,GO:0016032,GO:0016043,GO:0016055,GO:0016070,GO:0016192,GO:0016246,GO:0016441,GO:0016442,GO:0016458,GO:0016462,GO:0016604,GO:0016607,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0017148,GO:0018130,GO:0018992,GO:0019207,GO:0019209,GO:0019219,GO:0019220,GO:0019222,GO:0019438,GO:0019538,GO:0019827,GO:0019867,GO:0019887,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0022607,GO:0022612,GO:0022613,GO:0022618,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030111,GO:0030141,GO:0030154,GO:0030162,GO:0030177,GO:0030234,GO:0030295,GO:0030307,GO:0030308,GO:0030554,GO:0030718,GO:0031047,GO:0031090,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031332,GO:0031333,GO:0031369,GO:0031399,GO:0031401,GO:0031410,GO:0031966,GO:0031967,GO:0031968,GO:0031974,GO:0031975,GO:0031981,GO:0031982,GO:0031983,GO:0032147,GO:0032268,GO:0032269,GO:0032270,GO:0032392,GO:0032479,GO:0032481,GO:0032501,GO:0032502,GO:0032504,GO:0032508,GO:0032553,GO:0032555,GO:0032559,GO:0032642,GO:0032648,GO:0032722,GO:0032728,GO:0032774,GO:0032940,GO:0032991,GO:0033036,GO:0033365,GO:0033554,GO:0033592,GO:0033674,GO:0033993,GO:0034063,GO:0034248,GO:0034249,GO:0034250,GO:0034613,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0034774,GO:0035070,GO:0035071,GO:0035072,GO:0035075,GO:0035078,GO:0035081,GO:0035194,GO:0035272,GO:0035556,GO:0035613,GO:0035639,GO:0035770,GO:0036094,GO:0036098,GO:0036230,GO:0036314,GO:0036464,GO:0036477,GO:0040008,GO:0040019,GO:0040021,GO:0040029,GO:0042006,GO:0042119,GO:0042221,GO:0042254,GO:0042255,GO:0042256,GO:0042325,GO:0042327,GO:0042623,GO:0042802,GO:0042803,GO:0042981,GO:0043021,GO:0043024,GO:0043025,GO:0043043,GO:0043065,GO:0043066,GO:0043067,GO:0043068,GO:0043069,GO:0043085,GO:0043086,GO:0043154,GO:0043167,GO:0043168,GO:0043170,GO:0043186,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043254,GO:0043273,GO:0043280,GO:0043281,GO:0043299,GO:0043312,GO:0043539,GO:0043549,GO:0043603,GO:0043604,GO:0043900,GO:0043902,GO:0043903,GO:0043933,GO:0044085,GO:0044087,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044297,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044429,GO:0044433,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044703,GO:0044877,GO:0045055,GO:0045069,GO:0045070,GO:0045087,GO:0045321,GO:0045495,GO:0045727,GO:0045787,GO:0045859,GO:0045860,GO:0045861,GO:0045862,GO:0045893,GO:0045926,GO:0045927,GO:0045931,GO:0045935,GO:0045937,GO:0045944,GO:0045948,GO:0045995,GO:0046483,GO:0046685,GO:0046903,GO:0046983,GO:0048027,GO:0048102,GO:0048232,GO:0048285,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048524,GO:0048583,GO:0048584,GO:0048585,GO:0048609,GO:0048707,GO:0048731,GO:0048732,GO:0048856,GO:0048869,GO:0050789,GO:0050790,GO:0050792,GO:0050793,GO:0050794,GO:0050896,GO:0051094,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051254,GO:0051276,GO:0051336,GO:0051338,GO:0051345,GO:0051346,GO:0051347,GO:0051641,GO:0051704,GO:0051707,GO:0051716,GO:0051726,GO:0052547,GO:0052548,GO:0060033,GO:0060205,GO:0060255,GO:0060293,GO:0060548,GO:0060828,GO:0065003,GO:0065007,GO:0065009,GO:0070013,GO:0070035,GO:0070717,GO:0070727,GO:0070887,GO:0070925,GO:0071103,GO:0071214,GO:0071243,GO:0071470,GO:0071649,GO:0071651,GO:0071704,GO:0071826,GO:0071840,GO:0071900,GO:0071902,GO:0080090,GO:0080154,GO:0090068,GO:0090263,GO:0090304,GO:0097159,GO:0097190,GO:0097191,GO:0097193,GO:0097305,GO:0097367,GO:0097458,GO:0097617,GO:0097659,GO:0097708,GO:0098588,GO:0098727,GO:0098772,GO:0098805,GO:0098813,GO:0099503,GO:0101002,GO:0104004,GO:0140014,GO:0140097,GO:0140098,GO:0198738,GO:1900087,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901654,GO:1901700,GO:1901987,GO:1901989,GO:1901990,GO:1901992,GO:1902531,GO:1902532,GO:1902680,GO:1902806,GO:1902808,GO:1903047,GO:1903506,GO:1903508,GO:1903608,GO:1903900,GO:1903902,GO:1904813,GO:1905114,GO:1905516,GO:1990904,GO:2000026,GO:2000045,GO:2000112,GO:2000113,GO:2000116,GO:2000117,GO:2000241,GO:2000243,GO:2001056,GO:2001141,GO:2001233,GO:2001234,GO:2001242,GO:2001243	3.6.4.13	ko:K11594,ko:K17642	ko04622,ko05161,ko05203,map04622,map05161,map05203	-	-	-	ko00000,ko00001,ko01000,ko03019,ko03036,ko03041	-	-	-	DEAD,Helicase_C
XP_015171013.1|gene=LOC107063620|XP_015171013.1	103372.F4W4T1	1.09e-22	112.0	COG4886@1|root,KOG4641@2759|Eukaryota,39Z7Y@33154|Opisthokonta,3BKD5@33208|Metazoa,3CWKH@33213|Bilateria,41VSD@6656|Arthropoda,3SGRE@50557|Insecta,46HYI@7399|Hymenoptera	33208|Metazoa	T	Toll - interleukin 1 - resistance	Tl	GO:0000578,GO:0002164,GO:0002225,GO:0002229,GO:0002239,GO:0002376,GO:0002520,GO:0002682,GO:0002684,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002759,GO:0002760,GO:0002784,GO:0002786,GO:0002788,GO:0002803,GO:0002804,GO:0002805,GO:0002807,GO:0002808,GO:0002810,GO:0002831,GO:0002833,GO:0002920,GO:0002922,GO:0003002,GO:0003674,GO:0004888,GO:0005102,GO:0005121,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005886,GO:0006355,GO:0006357,GO:0006935,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0006963,GO:0006967,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007352,GO:0007389,GO:0007399,GO:0007416,GO:0007507,GO:0007525,GO:0007526,GO:0008037,GO:0008038,GO:0008039,GO:0008063,GO:0008150,GO:0008283,GO:0009605,GO:0009607,GO:0009617,GO:0009620,GO:0009790,GO:0009791,GO:0009798,GO:0009880,GO:0009889,GO:0009891,GO:0009893,GO:0009897,GO:0009950,GO:0009953,GO:0009986,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0012505,GO:0015026,GO:0016020,GO:0016043,GO:0016201,GO:0019219,GO:0019222,GO:0019730,GO:0019732,GO:0019899,GO:0019900,GO:0019901,GO:0019904,GO:0019955,GO:0022008,GO:0022607,GO:0023052,GO:0030097,GO:0030154,GO:0030182,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031347,GO:0031349,GO:0031410,GO:0031982,GO:0032101,GO:0032103,GO:0032153,GO:0032154,GO:0032155,GO:0032501,GO:0032502,GO:0032991,GO:0034248,GO:0034250,GO:0035007,GO:0035172,GO:0038023,GO:0040011,GO:0042221,GO:0042330,GO:0042742,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043455,GO:0043900,GO:0043902,GO:0044085,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045087,GO:0045088,GO:0045595,GO:0045610,GO:0045893,GO:0045935,GO:0045944,GO:0045995,GO:0048468,GO:0048513,GO:0048518,GO:0048522,GO:0048534,GO:0048569,GO:0048583,GO:0048584,GO:0048666,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050776,GO:0050778,GO:0050789,GO:0050793,GO:0050794,GO:0050808,GO:0050830,GO:0050832,GO:0050896,GO:0050919,GO:0051171,GO:0051173,GO:0051239,GO:0051252,GO:0051254,GO:0051704,GO:0051707,GO:0051716,GO:0060089,GO:0060255,GO:0061061,GO:0065007,GO:0070976,GO:0071840,GO:0071944,GO:0072359,GO:0080090,GO:0080134,GO:0097708,GO:0098542,GO:0098552,GO:0098590,GO:1900150,GO:1900424,GO:1900426,GO:1902680,GO:1902875,GO:1903506,GO:1903508,GO:2000026,GO:2000112,GO:2001141	-	ko:K18809	ko04624,map04624	M00686	-	-	ko00000,ko00001,ko00002	-	-	-	LRRNT,LRR_5,LRR_8,TIR
XP_015171014.1|gene=LOC107063621|XP_015171014.1	103372.F4WPR9	2.95e-223	652.0	COG5640@1|root,KOG3627@2759|Eukaryota,38EXG@33154|Opisthokonta,3BI1K@33208|Metazoa,3D0B0@33213|Bilateria,41V6R@6656|Arthropoda,3SH31@50557|Insecta,46K9H@7399|Hymenoptera	33208|Metazoa	O	Regulatory CLIP domain of proteinases	-	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005488,GO:0005575,GO:0005576,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043167,GO:0043169,GO:0043170,GO:0044238,GO:0046872,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	ko:K09640	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	CLIP,Trypsin
XP_015171016.1|gene=LOC107063622|XP_015171016.1	69319.XP_008553607.1	2.5e-147	455.0	COG5640@1|root,KOG3627@2759|Eukaryota,38EXG@33154|Opisthokonta,3BI1K@33208|Metazoa,3D0B0@33213|Bilateria,41V6R@6656|Arthropoda,3SH31@50557|Insecta,46K9H@7399|Hymenoptera	33208|Metazoa	O	Regulatory CLIP domain of proteinases	-	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005488,GO:0005575,GO:0005576,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043167,GO:0043169,GO:0043170,GO:0044238,GO:0046872,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	ko:K09640	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	CLIP,Trypsin
XP_015171017.1|gene=LOC107063623|XP_015171017.1	69319.XP_008553607.1	2.66e-146	455.0	COG5640@1|root,KOG3627@2759|Eukaryota,38EXG@33154|Opisthokonta,3BI1K@33208|Metazoa,3D0B0@33213|Bilateria,41V6R@6656|Arthropoda,3SH31@50557|Insecta,46K9H@7399|Hymenoptera	33208|Metazoa	O	Regulatory CLIP domain of proteinases	-	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005488,GO:0005575,GO:0005576,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043167,GO:0043169,GO:0043170,GO:0044238,GO:0046872,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	ko:K09640	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	CLIP,Trypsin
XP_015171018.1|gene=LOC107063624|XP_015171018.1	7460.GB45700-PA	4.13e-48	173.0	COG5640@1|root,KOG3627@2759|Eukaryota,38EXG@33154|Opisthokonta,3BI1K@33208|Metazoa,3D0B0@33213|Bilateria,41V6R@6656|Arthropoda,3SH31@50557|Insecta,46K9H@7399|Hymenoptera	33208|Metazoa	O	Regulatory CLIP domain of proteinases	-	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005488,GO:0005575,GO:0005576,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043167,GO:0043169,GO:0043170,GO:0044238,GO:0046872,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	ko:K09640	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	CLIP,Trypsin
