"ortholog","hog_n13","orthogroup","broad_orthogroup","gene_tree_parent_clade","gene_pd","gene_vv","genomic_member_count_pd","genomic_member_count_vv","relationship_class","gene_dmel","gene_dmel_from_pd_str","gene_dmel_from_vv_str","gene_dmel_shared_str","gene_dmel_union_str","dmel_mapping_confidence","symbol_pd","description_pd","genetype_pd","ntranscripts_pd","symbol_vv","description_vv","genetype_vv","ntranscripts_vv","chromosome_vv","accession_vv","start_vv","stop_vv","symbol_dmel","description_dmel","genetype_dmel","highest_tissue_Female","highest_tissue_Larva","highest_tissue_Male","top_log2_enrich_Female","top_log2_enrich_Larva","top_log2_enrich_Male","tau_Female","tau_Larva","tau_Male","identical_symbol_pd_vv","loading_SC","loading_Stage","loading_Species","top_SC","top_SC_pos","top_SC_neg","top_Stage","top_Stage_pos","top_Stage_neg","top_Species","top_Species_pos","top_Species_neg","rank_SC_loading_pos","rank_SC_loading_neg","rank_Stage_loading_pos","rank_Stage_loading_neg","rank_Species_loading_pos","rank_Species_loading_neg","VIP_SC","VIP_Stage","VIP_Species"
"N13.HOG0000001","N13.HOG0000001","N13.HOG0000001","OG0000000","n458","LOC107063630","LOC127065411",1,1,"one_to_one","","","","","","none","LOC107063630","odorant receptor 9a-like","PROTEIN_CODING","1","LOC127065411","odorant receptor 63a-like","PROTEIN_CODING","1","7","NC_066592.1","2151413","2155298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000002","N13.HOG0000002","N13.HOG0000002","OG0000000","n936","LOC107067508","LOC127068535",1,1,"one_to_one","","","","","","none","LOC107067508","uncharacterized LOC107067508","PROTEIN_CODING","1","LOC127068535","odorant receptor 13a-like","PROTEIN_CODING","1","13","NC_066598.1","2425471","2428622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000003","N13.HOG0000003","N13.HOG0000003","OG0000000","n957","LOC107071097, LOC107071106","LOC127070492",2,1,"many_to_one","","","","","","none","LOC107071097 | LOC107071106","uncharacterized LOC107071097 | uncharacterized LOC107071106","PROTEIN_CODING","1","LOC127070492","odorant receptor 67c-like","PROTEIN_CODING","1","18","NC_066603.1","2018669","2019939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-0.00199686583027368,-0.00405375223205599,-0.0245378113332663,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,2166,NA,1965,NA,4,1.16967641889926,1.28489741468594,1.69115193843668
"N13.HOG0000005","N13.HOG0000005","N13.HOG0000005","OG0000000","n993","LOC107071095","LOC127070494, LOC127070543",1,2,"one_to_many","","","","","","none","LOC107071095","odorant receptor 4-like","PROTEIN_CODING","1","LOC127070494 | LOC127070543","uncharacterized LOC127070494 | uncharacterized LOC127070543","PROTEIN_CODING","1","18","NC_066603.1","2024238 | 2015476","2025649 | 2030256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000006","N13.HOG0000006","N13.HOG0000006","OG0000000","n1012","LOC107071105","LOC127070495, LOC127070539, LOC127070540",1,3,"one_to_many","","","","","","none","LOC107071105","uncharacterized LOC107071105","PROTEIN_CODING","1","LOC127070495 | LOC127070539 | LOC127070540","uncharacterized LOC127070495 | uncharacterized LOC127070539 | odorant receptor 4-like","PROTEIN_CODING","1","18","NC_066603.1","2010088 | 1998823 | 2001819","2011614 | 2000636 | 2002462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-0.00442117334551318,-0.000396734344448275,-0.0238478134472432,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,1829,NA,2426,NA,24,1.13095071638342,1.23600163962986,1.64359711593777
"N13.HOG0000007","N13.HOG0000007","N13.HOG0000007","OG0000000","n1036","LOC107071107","LOC127070542",1,1,"one_to_one","","","","","","none","LOC107071107","odorant receptor 4-like","PROTEIN_CODING","1","LOC127070542","odorant receptor 4-like","PROTEIN_CODING","1","18","NC_066603.1","2013187","2015665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000023","N13.HOG0000023","N13.HOG0000023","OG0000000","n2496","LOC107064592","LOC127062905",1,1,"one_to_one","","","","","","none","LOC107064592","uncharacterized LOC107064592","PROTEIN_CODING","2","LOC127062905","odorant receptor Or2-like","PROTEIN_CODING","1","4","NC_066589.1","617349","619217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000028","N13.HOG0000028","N13.HOG0000028","OG0000000","n2547","LOC107073639","LOC127072300, LOC127072301",1,2,"one_to_many","","","","","","none","LOC107073639","uncharacterized LOC107073639","PROTEIN_CODING","1","LOC127072300 | LOC127072301","uncharacterized LOC127072300 | uncharacterized LOC127072301","PROTEIN_CODING","1","25","NC_066610.1","1088889 | 1095837","1090543 | 1097966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000029","N13.HOG0000029","N13.HOG0000029","OG0000000","n2606","LOC107073765, LOC107073776","LOC127072280",2,1,"many_to_one","","","","","","none","LOC107073765 | LOC107073776","uncharacterized LOC107073765 | uncharacterized LOC107073776","PROTEIN_CODING","2","LOC127072280","uncharacterized LOC127072280","PROTEIN_CODING","1","25","NC_066610.1","162161","163274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00113671859136,-0.00281526948741371,-0.0239906154459743,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,2121,NA,NA,2135,NA,21,1.13685896680361,1.2498333693362,1.65343906449979
"N13.HOG0000036","N13.HOG0000036","N13.HOG0000036","OG0000000","n2688","LOC107073260, LOC107073261, LOC107073262, LOC107073263, LOC107073597","LOC127068517",5,1,"many_to_one","","","","","","none","LOC107073260 | LOC107073261 | LOC107073262 | LOC107073263 | LOC107073597","uncharacterized LOC107073260 | uncharacterized LOC107073261 | uncharacterized LOC107073262 | uncharacterized LOC107073263 | uncharacterized LOC107073597","PROTEIN_CODING","1 | 3","LOC127068517","uncharacterized LOC127068517","PROTEIN_CODING","3","13","NC_066598.1","3578633","3587040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
