gene_id	gene_name	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
LOC127061349	LOC127061349	17.478051	16.034707	19.515701	19.856455	18.276781	21.652977	36.00965	38.461832	39.916927	41.192382	16.538881	30.197247	13.375907	11.196143	29.121579	40.865577	34.627183	28.463542	35.409633	23.980655	23.670253	22.906135	17.168395	10.548127	16.9659	16.194692	22.095955	30.6449	41.021372	59.718507	28.359646	20.662343	25.768428	20.275494	24.71507	14.259652	27.953735	19.951858	18.380032	24.935577	20.967247	42.498759	46.447018	22.315489	17.131238	20.879121	17.924555	14.625667	19.15167	17.242353	19.454309	17.994227	44.949512	42.201678	30.856281	26.999692	24.982696	19.41106	27.691083	28.173826	15.928415	19.214543	21.26948	18.331872	51.672045	68.163865
LOC127061350	LOC127061350	1.05066	1.117396	1.342642	1.98063	4.707127	4.125075	8.704561	10.643478	11.018923	11.24349	0.884652	0.737565	1.154933	1.51343	3.885643	10.298054	7.749796	7.64372	7.962225	1.187093	0.955614	1.658207	1.559686	1.862327	2.201243	3.067521	6.205569	6.864884	9.543306	18.911393	7.542002	0.954268	0.778044	0.756298	1.187041	1.028344	3.248111	3.986707	3.433766	4.673297	3.806149	9.050884	9.504057	1.130782	0.970974	3.393717	1.21469	3.016045	4.15231	4.96691	5.798755	4.312679	21.141075	20.170068	1.487597	1.293038	2.740662	3.678413	3.894038	4.201895	3.598496	3.421738	3.860268	3.487599	16.898735	24.39384
LOC127061351	LOC127061351	6.851174	7.356064	4.946421	3.833271	4.392258	4.348133	38.815351	51.045787	62.613843	67.56741	6.153863	13.714349	3.360487	3.799275	12.499324	85.57744	57.029777	58.524678	70.79285	4.627881	3.748643	3.43005	3.895447	2.062021	1.778084	11.493406	12.178731	21.609044	67.992182	121.926788	59.997516	14.60046	12.563936	2.313436	3.226356	2.825361	3.638097	6.752209	20.503848	50.11157	27.26896	75.692393	90.359875	12.281972	7.143722	4.518022	3.086769	5.851584	11.367016	35.096098	44.779273	28.848081	99.584742	117.04792	4.724975	5.13517	3.397413	7.481113	10.951036	18.693074	22.433455	22.425528	42.558569	30.848581	135.653493	118.347728
LOC127061352	LOC127061352	1.371741	0.885465	0.32769	0.458332	0.433129	0.443388	0.823501	1.543325	18.634335	12.572282	0.384385	0.716868	0.269373	0.308725	0.220165	1.070877	0.620655	2.872869	7.82095	0.505816	0.527994	0.489899	0.446269	0.135779	0.493697	0.24589	5.467663	0.532469	8.117035	27.840599	6.426577	0.673381	0.691705	0.224239	0.234347	0.232911	0.511263	0.16632	0.195632	0.277662	0.291681	24.745224	27.211208	1.294877	0.589141	0.445877	0.392331	0.222674	0.26722	0.265687	3.742232	0.170556	12.947517	12.515784	0.781989	0.691853	0.494266	0.507051	0.253052	0.394731	0.138346	0.148781	0.237108	0.371293	41.564243	31.199882
LOC127061353	LOC127061353	2.268431	2.434572	1.013261	1.443859	5.261303	5.720865	14.001216	17.667191	40.083913	34.825752	1.077978	1.555855	1.730742	1.772187	8.906078	15.077158	13.293966	33.642525	48.093546	1.785101	1.783898	0.992598	1.150768	2.560315	2.113531	7.110344	9.239135	10.223714	7.567275	15.710503	26.468225	1.923166	1.819764	1.099397	1.303512	1.097302	3.734635	4.872933	4.335832	3.825547	5.130719	16.510647	9.347521	1.237271	2.205136	4.258115	0.850159	3.583583	6.113193	6.903726	8.68618	2.519935	10.403554	13.178226	0.81987	0.945379	1.63999	4.649755	5.804025	4.984878	2.970427	4.116663	3.080261	3.579878	16.239111	17.221341
LOC127061354	LOC127061354	3.094119	4.303772	7.948499	9.358163	3.868229	4.143053	7.720229	9.100441	29.014022	19.160144	2.140665	2.627849	1.473147	3.341901	2.334254	10.523194	9.69855	11.873069	21.078138	1.645031	2.275547	3.399796	1.33096	6.8153	2.859998	2.298103	2.762143	4.942759	9.887701	17.096783	12.239304	1.544696	4.85318	1.534146	3.872513	1.951499	6.390494	1.942011	1.424257	3.115981	2.07042	24.661794	9.935145	4.661715	2.017711	11.530796	2.253848	2.282827	9.086649	2.708474	3.525378	1.286596	21.740837	16.394458	6.416551	8.07448	4.735434	25.562472	3.324005	19.677282	1.464443	1.913978	2.716668	2.715328	14.108	25.074583
LOC127061355	LOC127061355	1.722744	1.322372	1.373232	1.741475	1.349244	1.292149	1.955337	2.065831	1.729454	1.881387	1.415258	1.701194	1.230177	1.194247	1.440202	3.35763	2.093536	1.413452	1.898403	1.560385	1.844324	1.593935	1.23187	0.654765	0.911992	0.795493	0.984247	1.776857	2.89189	4.036244	1.718375	0.784945	1.355376	1.364408	1.210909	0.826384	1.995122	1.289121	1.198994	1.253022	1.685113	2.049173	2.898438	1.273429	1.244628	1.598682	1.446911	0.899605	1.23249	1.155058	1.934322	0.958991	4.266333	3.615636	1.26017	0.780564	1.636741	1.851184	1.113279	1.308165	0.919059	0.961066	1.140942	0.930225	4.022081	6.237437
LOC127061356	LOC127061356	0.971031	1.388931	0.30738	0.405636	2.019668	2.155045	3.81544	4.590026	16.580813	18.84891	0.369658	0.343696	0.378903	0.374415	1.159435	4.730651	3.019056	11.758349	17.469636	0.534018	0.645081	0.270533	0.223891	0.578435	0.453828	1.514742	1.622528	2.146314	1.903602	12.675746	9.606294	0.817916	0.698575	0.713514	0.574808	0.852957	1.046151	1.167657	0.914758	0.953565	1.198437	4.852965	5.18351	0.584763	0.720868	0.645524	0.274118	1.333701	1.608182	1.263617	1.846452	0.372039	4.896628	6.455499	0.158593	0.209037	0.32634	1.574414	1.222865	1.168098	0.888205	1.028683	0.632634	0.593178	5.668924	7.655721
LOC127061357	LOC127061357	34.254456	32.900631	30.44478	49.00632	143.273256	168.112101	98.870684	107.898354	64.926116	62.77243	25.985399	42.817685	32.753746	30.810669	340.407939	98.600051	83.821292	50.26186	57.302663	38.075737	46.271916	51.139203	43.404247	94.222131	39.796232	650.059978	253.365439	96.075548	110.666091	91.183348	45.390279	20.10132	46.354673	24.144856	29.86932	26.093754	47.560574	355.597014	443.63369	45.599721	65.226765	65.842607	79.695455	37.377071	19.603434	79.647692	23.664211	80.605533	101.672386	602.515931	660.331123	110.764518	81.910743	76.018551	49.363602	46.634672	83.093529	124.274522	175.213143	206.605444	456.748438	515.688392	50.071286	34.00508	96.483729	122.443409
LOC127061358	LOC127061358	4.380745	3.891185	3.589187	1.852064	1.43817	1.382124	2.656762	2.772258	3.198184	5.005243	2.231467	4.152816	1.300671	1.27868	0.97405	3.699693	3.13372	2.744699	2.791082	3.393315	3.434132	2.297172	2.705231	0.548964	1.558607	0.739654	2.211907	1.66852	11.140695	11.486206	2.312286	3.719686	3.887253	1.859915	2.113703	2.076674	2.997771	1.189763	1.103105	2.734671	1.713825	8.916242	12.290994	3.525529	3.083924	1.532292	2.230518	0.972161	1.113597	1.344672	2.079691	1.499038	16.055627	14.551725	2.977065	2.958863	2.369179	1.608854	1.17425	1.217146	0.772224	1.120115	3.004567	4.213073	11.061321	17.56273
LOC127061359	LOC127061359	14.895285	15.744556	17.175137	9.675266	4.937296	5.174664	10.28147	10.744162	25.760168	26.519645	17.51524	28.810052	6.851297	6.152148	6.422616	16.136783	11.519626	26.850587	25.881919	17.352151	15.164921	8.90315	13.483298	3.555093	5.695822	5.086471	6.828455	7.817971	18.769469	30.220814	22.378614	17.649601	17.455654	15.016982	15.767273	14.674985	14.607959	5.711382	4.711153	7.493944	7.69742	24.606607	25.07439	13.669159	11.462206	9.48328	9.623747	4.109678	6.4049	6.433777	6.734111	5.189475	31.80442	29.761783	13.322136	15.750959	12.25773	7.889553	7.76949	7.000495	5.025837	6.129382	8.227451	9.985965	32.904784	37.961909
LOC127061360	LOC127061360	1.903709	1.533001	0.792203	1.104262	4.590834	5.072814	8.877912	9.467286	12.754762	14.194277	0.830807	1.241653	0.857655	0.827414	4.353646	10.84638	8.706163	8.780525	10.358602	1.283902	1.189585	1.236716	0.698264	1.298308	1.272308	3.185178	4.876835	5.793822	8.350198	19.481439	7.455684	1.010873	0.756584	0.437714	0.764713	0.767995	3.146918	2.940084	2.931879	5.435891	4.635618	8.552202	7.460085	1.444876	1.602367	4.418177	1.197942	3.986146	4.621187	5.289329	5.093131	4.337844	12.462022	11.694822	0.91104	0.963219	1.77731	4.335057	3.086829	2.809063	2.733688	2.471089	4.287344	4.310982	16.54298	17.228507
