tx	gene_id	Pd103	Pd105	Pd106	Pd11	Pd110	Pd112	Pd115	Pd119	Pd12	Pd120	Pd122	Pd123	Pd128	Pd13	Pd130	Pd134	Pd137	Pd14	Pd142	Pd143	Pd149	Pd15	Pd150	Pd152	Pd16	Pd17	Pd19	Pd2	Pd20	Pd21	Pd22	Pd23	Pd24	Pd25	Pd26	Pd27	Pd28	Pd29	Pd3	Pd30	Pd31	Pd32	Pd33	Pd34	Pd35	Pd36	Pd37	Pd38	Pd40	Pd43	Pd45	Pd46	Pd49	Pd5	Pd51	Pd52	Pd55	Pd56	Pd57	Pd58	Pd6	Pd63	Pd66	Pd69	Pd7	Pd72	Pd75	Pd77	Pd8	Pd80	Pd84	Pd86	Pd87	Pd9	Pd93	Pd95	Pd98
XR_001475461.1	LOC107064227	787.814	791.902	790.609	777.604	785.853	779.617	781.622	780.476	776.774	772.145	764.191	788.904	785.702	764.051	792.014	791.984	798.25	768.78	788.094	774.463	790.454	763.67	807.177	803.392	781.941	779.055	765.063	797.207	775.639	782.262	785.156	785.238	788.166	767.845	773.82	789.953	800.671	787.301	778.85	791.303	771.598	787.076	775.344	768.494	761.68	778.113	774.028	764.496	782.811	768.336	776.124	770.003	776.157	768.98	766.429	772.296	766.3	767.387	760.218	771.629	779.483	782.601	770.482	771.276	779.835	760.46	801.21	802.098	781.184	785.379	789.892	798.465	798.833	773.217	793.396	783.356	787.64
XR_001475460.1	LOC107064227	884.814	888.902	887.609	874.604	882.853	876.617	878.622	877.476	873.774	869.145	861.191	885.904	882.702	861.051	889.014	888.984	895.25	865.78	885.094	871.463	887.454	860.67	904.177	900.392	878.941	876.055	862.063	894.207	872.639	879.262	882.156	882.238	885.166	864.845	870.82	886.953	897.671	884.301	875.85	888.303	868.598	884.076	872.344	865.494	858.68	875.113	871.028	861.496	879.811	865.336	873.124	867.003	873.157	865.98	863.429	869.296	863.3	864.387	857.218	868.629	876.483	879.601	867.482	868.276	876.835	857.46	898.21	899.098	878.184	882.379	886.892	895.465	895.833	870.217	890.396	880.356	884.64
XM_015316566.1	LOC107064169	1536.814	1540.902	1539.609	1526.604	1534.853	1528.617	1530.622	1529.476	1525.774	1521.145	1513.191	1537.904	1534.702	1513.051	1541.014	1540.984	1547.25	1517.78	1537.094	1523.463	1539.454	1512.67	1556.177	1552.392	1530.941	1528.055	1514.063	1546.207	1524.639	1531.262	1534.156	1534.238	1537.166	1516.845	1522.82	1538.953	1549.671	1536.301	1527.85	1540.303	1520.598	1536.076	1524.344	1517.494	1510.68	1527.113	1523.028	1513.496	1531.811	1517.336	1525.124	1519.003	1525.157	1517.98	1515.429	1521.296	1515.3	1516.387	1509.218	1520.629	1528.483	1531.601	1519.482	1520.276	1528.835	1509.46	1550.21	1551.098	1530.184	1534.379	1538.892	1547.465	1547.833	1522.217	1542.396	1532.356	1536.64
XM_015316593.1	LOC107064169	1464.814	1468.902	1467.609	1454.604	1462.853	1456.617	1458.622	1457.476	1453.774	1449.145	1441.191	1465.904	1462.702	1441.051	1469.014	1468.984	1475.25	1445.78	1465.094	1451.463	1467.454	1440.67	1484.177	1480.392	1458.941	1456.055	1442.063	1474.207	1452.639	1459.262	1462.156	1462.238	1465.166	1444.845	1450.82	1466.953	1477.671	1464.301	1455.85	1468.303	1448.598	1464.076	1452.344	1445.494	1438.68	1455.113	1451.028	1441.496	1459.811	1445.336	1453.124	1447.003	1453.157	1445.98	1443.429	1449.296	1443.3	1444.387	1437.218	1448.629	1456.483	1459.601	1447.482	1448.276	1456.835	1437.46	1478.21	1479.098	1458.184	1462.379	1466.892	1475.465	1475.833	1450.217	1470.396	1460.356	1464.64
XM_015316630.1	LOC107064169	1538.814	1542.902	1541.609	1528.604	1536.853	1530.617	1532.622	1531.476	1527.774	1523.145	1515.191	1539.904	1536.702	1515.051	1543.014	1542.984	1549.25	1519.78	1539.094	1525.463	1541.454	1514.67	1558.177	1554.392	1532.941	1530.055	1516.063	1548.207	1526.639	1533.262	1536.156	1536.238	1539.166	1518.845	1524.82	1540.953	1551.671	1538.301	1529.85	1542.303	1522.598	1538.076	1526.344	1519.494	1512.68	1529.113	1525.028	1515.496	1533.811	1519.336	1527.124	1521.003	1527.157	1519.98	1517.429	1523.296	1517.3	1518.387	1511.218	1522.629	1530.483	1533.601	1521.482	1522.276	1530.835	1511.46	1552.21	1553.098	1532.184	1536.379	1540.892	1549.465	1549.833	1524.217	1544.396	1534.356	1538.64
XM_015316625.1	LOC107064169	2509.814	2513.902	2512.609	2499.604	2507.853	2501.617	2503.622	2502.476	2498.774	2494.145	2486.191	2510.904	2507.702	2486.051	2514.014	2513.984	2520.25	2490.78	2510.094	2496.463	2512.454	2485.67	2529.177	2525.392	2503.941	2501.055	2487.063	2519.207	2497.639	2504.262	2507.156	2507.238	2510.166	2489.845	2495.82	2511.953	2522.671	2509.301	2500.85	2513.303	2493.598	2509.076	2497.344	2490.494	2483.68	2500.113	2496.028	2486.496	2504.811	2490.336	2498.124	2492.003	2498.157	2490.98	2488.429	2494.296	2488.3	2489.387	2482.218	2493.629	2501.483	2504.601	2492.482	2493.276	2501.835	2482.46	2523.21	2524.098	2503.184	2507.379	2511.892	2520.465	2520.833	2495.217	2515.396	2505.356	2509.64
XM_015316575.1	LOC107064169	1534.814	1538.902	1537.609	1524.604	1532.853	1526.617	1528.622	1527.476	1523.774	1519.145	1511.191	1535.904	1532.702	1511.051	1539.014	1538.984	1545.25	1515.78	1535.094	1521.463	1537.454	1510.67	1554.177	1550.392	1528.941	1526.055	1512.063	1544.207	1522.639	1529.262	1532.156	1532.238	1535.166	1514.845	1520.82	1536.953	1547.671	1534.301	1525.85	1538.303	1518.598	1534.076	1522.344	1515.494	1508.68	1525.113	1521.028	1511.496	1529.811	1515.336	1523.124	1517.003	1523.157	1515.98	1513.429	1519.296	1513.3	1514.387	1507.218	1518.629	1526.483	1529.601	1517.482	1518.276	1526.835	1507.46	1548.21	1549.098	1528.184	1532.379	1536.892	1545.465	1545.833	1520.217	1540.396	1530.356	1534.64
XM_015316617.1	LOC107064169	1669.814	1673.902	1672.609	1659.604	1667.853	1661.617	1663.622	1662.476	1658.774	1654.145	1646.191	1670.904	1667.702	1646.051	1674.014	1673.984	1680.25	1650.78	1670.094	1656.463	1672.454	1645.67	1689.177	1685.392	1663.941	1661.055	1647.063	1679.207	1657.639	1664.262	1667.156	1667.238	1670.166	1649.845	1655.82	1671.953	1682.671	1669.301	1660.85	1673.303	1653.598	1669.076	1657.344	1650.494	1643.68	1660.113	1656.028	1646.496	1664.811	1650.336	1658.124	1652.003	1658.157	1650.98	1648.429	1654.296	1648.3	1649.387	1642.218	1653.629	1661.483	1664.601	1652.482	1653.276	1661.835	1642.46	1683.21	1684.098	1663.184	1667.379	1671.892	1680.465	1680.833	1655.217	1675.396	1665.356	1669.64
XM_015316585.1	LOC107064169	1531.814	1535.902	1534.609	1521.604	1529.853	1523.617	1525.622	1524.476	1520.774	1516.145	1508.191	1532.904	1529.702	1508.051	1536.014	1535.984	1542.25	1512.78	1532.094	1518.463	1534.454	1507.67	1551.177	1547.392	1525.941	1523.055	1509.063	1541.207	1519.639	1526.262	1529.156	1529.238	1532.166	1511.845	1517.82	1533.953	1544.671	1531.301	1522.85	1535.303	1515.598	1531.076	1519.344	1512.494	1505.68	1522.113	1518.028	1508.496	1526.811	1512.336	1520.124	1514.003	1520.157	1512.98	1510.429	1516.296	1510.3	1511.387	1504.218	1515.629	1523.483	1526.601	1514.482	1515.276	1523.835	1504.46	1545.21	1546.098	1525.184	1529.379	1533.892	1542.465	1542.833	1517.217	1537.396	1527.356	1531.64
XM_015316608.1	LOC107064169	1621.814	1625.902	1624.609	1611.604	1619.853	1613.617	1615.622	1614.476	1610.774	1606.145	1598.191	1622.904	1619.702	1598.051	1626.014	1625.984	1632.25	1602.78	1622.094	1608.463	1624.454	1597.67	1641.177	1637.392	1615.941	1613.055	1599.063	1631.207	1609.639	1616.262	1619.156	1619.238	1622.166	1601.845	1607.82	1623.953	1634.671	1621.301	1612.85	1625.303	1605.598	1621.076	1609.344	1602.494	1595.68	1612.113	1608.028	1598.496	1616.811	1602.336	1610.124	1604.003	1610.157	1602.98	1600.429	1606.296	1600.3	1601.387	1594.218	1605.629	1613.483	1616.601	1604.482	1605.276	1613.835	1594.46	1635.21	1636.098	1615.184	1619.379	1623.892	1632.465	1632.833	1607.217	1627.396	1617.356	1621.64
