HOG	Displayed_gene	Functional_group	Selected_comparison	Polistes L1 late vs early	Polistes L4 late vs early	Polistes L5 late vs early	Vespula L2 queen vs worker	Consensus HOG name	Polistes gene IDs	Polistes symbols	Polistes descriptions	Vespula gene IDs	Vespula symbols	Vespula descriptions	Selection_basis	Supporting enriched GO terms	Minimum topGO weight01 P	Supporting BH-significant KEGG pathways	Minimum KEGG BH P	Wang et al. 2021 pathway component	Maximum concordance z
N13.HOG0010043	Gbs-76A	IIS/Wnt/mTOR/FoxO	L4_to_L2	0.326 (ns)	0.848 (*)	0.259 (ns)	0.416 (*)	Gbs-76A	LOC107067297	Gbs-76A	Glycogen binding subunit 76A	LOC127071928	Gbs-76A	Glycogen binding subunit 76A	BH-significant KEGG enrichment	NA	NA	L4_to_L2: map04931 Insulin resistance	0.0012	NA	1.51
N13.HOG0007424	Pdk1	IIS/Wnt/mTOR/FoxO	L4_to_L2	-0.043 (ns)	0.823 (*)	0.081 (ns)	0.925 (**)	Pdk1	LOC107070841	Pdk1	Phosphoinositide-dependent kinase 1	LOC127068913	Pdk1	Phosphoinositide-dependent kinase 1	Qualifying GO and BH-significant KEGG enrichment	L4_to_L2: GO:0034121 regulation of toll-like receptor signaling pathway; L4_to_L2: GO:0032869 cellular response to insulin stimulus; L4_to_L2: GO:0002220 innate immune response activating cell surface receptor signaling pathway; L4_to_L2: GO:0007179 transforming growth factor beta receptor signaling pathway; L4_to_L2: GO:0030512 negative regulation of transforming growth factor beta receptor signaling pathway; L4_to_L2: GO:0044703 multi-organism reproductive process	0.00145	L4_to_L2: map04931 Insulin resistance	0.0012	PDK1	1.24
N13.HOG0006961	Pepck	IIS/Wnt/mTOR/FoxO	L4_to_L2	0.211 (ns)	1.332 (**)	0.513 (ns)	0.912 (*)	phosphoenolpyruvate carboxykinase [GTP]	LOC107069904	LOC107069904	phosphoenolpyruvate carboxykinase [GTP]-like	LOC127062144	LOC127062144	phosphoenolpyruvate carboxykinase [GTP]-like	Qualifying GO and BH-significant KEGG enrichment	L4_to_L2: GO:0045912 negative regulation of carbohydrate metabolic process; L4_to_L2: GO:0006475 internal protein amino acid acetylation; L4_to_L2: GO:0043255 regulation of carbohydrate biosynthetic process; L4_to_L2: GO:0032869 cellular response to insulin stimulus; L4_to_L2: GO:0010906 regulation of glucose metabolic process; L4_to_L2: GO:0010907 positive regulation of glucose metabolic process; L4_to_L2: GO:0032024 positive regulation of insulin secretion; L4_to_L2: GO:0044703 multi-organism reproductive process; L4_to_L2: GO:0009066 aspartate family amino acid metabolic process	6e-5	L4_to_L2: map04931 Insulin resistance	0.0012	PEPCK	1.34
N13.HOG0005758	Wdr59 (GATOR2)	IIS/Wnt/mTOR/FoxO	L1_to_L2	0.369 (*)	-0.066 (ns)	-0.055 (ns)	0.523 (**)	Wdr59	LOC107067923	Wdr59	WD repeat domain 59	LOC127071304	Wdr59	WD repeat domain 59	Connected component in the IIS/Wnt/mTOR/FoxO network	NA	NA	NA	NA	NA	2.48
N13.HOG0004507	nej/CBP	IIS/Wnt/mTOR/FoxO	L1_to_L2	0.530 (*)	0.427 (ns)	0.065 (ns)	0.508 (*)	CREB-binding protein / histone lysine acetyltransferase CREBBP	LOC107070410	LOC107070410	CREB-binding protein	LOC127072320	LOC127072320	histone lysine acetyltransferase CREBBP	Qualifying GO enrichment	L1_to_L2: GO:0141193 nuclear receptor-mediated signaling pathway; L1_to_L2: GO:0009792 embryo development ending in birth or egg hatching; L1_to_L2: GO:0010506 regulation of autophagy	0.00376	NA	NA	CBP	0.967
N13.HOG0009263	nmo/NLK	IIS/Wnt/mTOR/FoxO	L4_to_L2	0.311 (ns)	0.804 (*)	0.170 (ns)	0.688 (*)	nmo	LOC107065643	nmo	serine/threonine-protein kinase nemo	LOC127068167	nmo	serine/threonine-protein kinase nemo	Qualifying GO enrichment	L4_to_L2: GO:0016055 Wnt signaling pathway; L4_to_L2: GO:0035567 non-canonical Wnt signaling pathway; L4_to_L2: GO:0007179 transforming growth factor beta receptor signaling pathway	0.00224	NA	NA	NA	1.79
N13.HOG0006185	sgg/GSK3beta	IIS/Wnt/mTOR/FoxO	L4_to_L2; L5_to_L2	-0.081 (ns)	0.631 (**)	0.533 (**)	0.666 (*)	glycogen synthase kinase-3 beta	LOC107072384	LOC107072384	glycogen synthase kinase-3 beta-like	LOC127069964	LOC127069964	glycogen synthase kinase-3 beta	Qualifying GO and BH-significant KEGG enrichment	L4_to_L2: GO:0045912 negative regulation of carbohydrate metabolic process; L4_to_L2: GO:0016055 Wnt signaling pathway; L4_to_L2: GO:0035567 non-canonical Wnt signaling pathway; L4_to_L2: GO:0043255 regulation of carbohydrate biosynthetic process; L4_to_L2: GO:0032869 cellular response to insulin stimulus; L4_to_L2: GO:0010906 regulation of glucose metabolic process; L4_to_L2: GO:0070873 regulation of glycogen metabolic process; L4_to_L2: GO:0007212 G protein-coupled dopamine receptor signaling pathway; L4_to_L2: GO:0010508 positive regulation of autophagy; L4_to_L2: GO:0043470 regulation of carbohydrate catabolic process; L4_to_L2: GO:0044703 multi-organism reproductive process; L5_to_L2: GO:0016055 Wnt signaling pathway	6e-5	L4_to_L2: map04931 Insulin resistance	0.0012	GSK3beta	2.15
N13.HOG0008912	sut1-3 / SLC2-like	IIS/Wnt/mTOR/FoxO	L4_to_L2	-0.022 (ns)	0.942 (***)	0.060 (ns)	0.605 (**)	solute carrier family 2, facilitated glucose transporter member 5-like / solute carrier family 2, facilitated glucose transporter member 1-like	LOC107073878	LOC107073878	solute carrier family 2, facilitated glucose transporter member 5-like	LOC127061538	LOC127061538	solute carrier family 2, facilitated glucose transporter member 1-like	BH-significant KEGG enrichment	NA	NA	L4_to_L2: map04931 Insulin resistance	0.0012	NA	3.07
N13.HOG0004754	EcR	Ecdysone/development	L4_to_L2	0.021 (ns)	0.807 (*)	0.085 (ns)	1.297 (***)	Ecr	LOC107063663	Ecr	ecdysone receptor	LOC127065074	LOC127065074	ecdysone receptor-like	Qualifying GO and BH-significant KEGG enrichment	L4_to_L2: GO:0071390 cellular response to ecdysone; L4_to_L2: GO:0034121 regulation of toll-like receptor signaling pathway; L4_to_L2: GO:0048102 autophagic cell death; L4_to_L2: GO:0032869 cellular response to insulin stimulus; L4_to_L2: GO:0002220 innate immune response activating cell surface receptor signaling pathway; L4_to_L2: GO:0044703 multi-organism reproductive process	8.1e-4	L4_to_L2: map04931 Insulin resistance	0.0012	NA	1.76
N13.HOG0003585	br	Ecdysone/development	L4_to_L2	-0.133 (ns)	0.766 (*)	0.118 (ns)	1.981 (***)	br	LOC107063738	br	broad-complex core protein	LOC127065038	br	broad-complex core protein	Qualifying GO enrichment	L4_to_L2: GO:0071390 cellular response to ecdysone; L4_to_L2: GO:0048102 autophagic cell death; L4_to_L2: GO:0044703 multi-organism reproductive process; P_to_P: GO:0022412 cellular process involved in reproduction in multicellular organism; P_to_P: GO:0030707 follicle cell of egg chamber development; P_to_P: GO:0071390 cellular response to ecdysone	1.7e-4	NA	NA	NA	1.84
