HOG	OG	stage	baseMean_pd	baseMean_vv	log2FC_raw_pd	log2FC_raw_vv	lfcSE_raw_pd	lfcSE_raw_vv	log2FC_ash_pd	log2FC_ash_vv	lfcSE_ash_pd	lfcSE_ash_vv	ash_lfsr_pd	ash_lfsr_vv	pvalue_pd	pvalue_vv	padj_global_pd	padj_global_vv	genomic_member_count_pd	genomic_member_count_vv	genomic_member_ids_pd	genomic_member_ids_vv	present_in_both_species	relationship_class
N13.HOG0000005	OG0000000	L1	3.4256186927861423	6.750572278279235	-0.37599659800715424	0.08823467759807264	0.7523065538312554	0.5870573747023882	-0.06689256768711237	0.00605571775177022	0.3179931988121033	0.1539878934038316	0.41744305520657743	0.4854390099369156	0.6172217306548795	0.8805279945651846	0.829274729659563	0.9551304034090408	1	2	LOC107071095	LOC127070494, LOC127070543	TRUE	one_to_many
N13.HOG0000023	OG0000000	L1	11.135748504504498	5.270770831581473	0.3388334872205412	1.0093536580440063	0.4989334767493371	1.0914558220343462	0.10986024499463425	0.02754877737429928	0.2852727363364074	0.1891231591592905	0.3506398356867702	0.4481459227623211	0.4970646444431976	0.35508171790292464	0.7560861078912471	0.6260393924459278	1	1	LOC107064592	LOC127062905	TRUE	one_to_one
N13.HOG0000037	OG0000000	L1	3.663971770296076	10.751032422109636	-0.02085616263608902	-0.11237047558689962	0.6939163729883728	0.6829798469205486	-0.00420354205526102	-0.00611652942767199	0.31153079711104775	0.15959893056757338	0.49467065564977064	0.4860279464684288	0.976022607697254	0.8693141608766419	0.9922234070977536	0.9505533402167536	4	3	LOC107073547, LOC107073557, LOC107073707, LOC107073708	LOC127068516, LOC127068521, LOC127068649	TRUE	many_to_many
N13.HOG0000159	OG0000002	L1	38.869987179043925	108.41118963952285	-1.0030142881223207	0.6061455863636409	0.5325011758239513	0.471313437364051	-0.30704569780222934	0.06377287274062675	0.3048423535863522	0.16874961484811032	0.15253776048954815	0.35087656416884005	0.05962035428163476	0.1984160311472284	0.26598112290714154	0.4526675659377889	1	1	LOC107067980	LOC127071255	TRUE	one_to_one
N13.HOG0000178	OG0000003	L1	34.90087342710728	148.16160182956796	-0.30961638583312945	0.2070554546192092	0.8813154859690203	0.4413866842801262	-0.04246264349790596	0.02217635245381712	0.3267136702707407	0.14589602055866654	0.4488850180891506	0.44217316010569013	0.7253545658146225	0.6389966028610929	0.8864786289519999	0.8348623987447651	1	1	LOC107068958	LOC127065531	TRUE	one_to_one
N13.HOG0000179	OG0000003	L1	595.4027581538635	275.1001363627946	0.3849270930442273	-0.29700932541652153	0.4215008941188596	0.515696320157199	0.15399526006719902	-0.02526145468727777	0.26851042128869435	0.15306390252946298	0.2831899132051421	0.4376980543600477	0.3611217991691445	0.5646568034568198	0.6559571282225938	0.7886940084770234	1	1	LOC107064937	LOC127071724	TRUE	one_to_one
N13.HOG0000180	OG0000003	L1	77.6160606552186	468.0351107975183	0.10041169195998416	-0.5646920376803246	0.6905818899342395	0.24257853753460115	0.02039250930675321	-0.17478277006723503	0.3112698551171604	0.16940828344943065	0.4741371388337854	0.1160371739979258	0.8843938240708309	0.01991884619057929	0.9576077970837288	0.09949595011137122	1	1	LOC107065871	LOC127069122	TRUE	one_to_one
N13.HOG0000182	OG0000003	L1	253.00437922845825	308.1860324307066	1.1877864523830686	-0.5710940346142437	0.5689131656251536	0.27498196090261057	0.33490566052285864	-0.14488005585351274	0.31620685321571546	0.16877829145008755	0.13839005847556232	0.16656085111476426	0.03681436550826073	0.03781616149529725	0.20372384395982132	0.15663199226795738	1	1	LOC107066528	LOC127061485	TRUE	one_to_one
N13.HOG0000184	OG0000003	L1	152.65495337833852	23.80579399946636	0.01908300915081139	0.33151755688002355	0.7346351469458213	0.8267766789461891	0.0035181363610836	0.01353837455005602	0.31543296787625347	0.1687183736680644	0.4955970948708685	0.4712250851772779	0.9792763437911558	0.6884378372842865	0.9935776088480948	0.8630661228439023	1	1	LOC107067378	LOC127064568	TRUE	one_to_one
N13.HOG0000187	OG0000003	L1	81.22999675118294	1071.155914073741	-0.6301898704258886	-0.5746702043753141	0.4374118961345428	0.3296756677380215	-0.2440754617441114	-0.10816853471037784	0.27712108593029355	0.16668303419666755	0.18744073822094665	0.2414874896493235	0.14966263704721738	0.08130950153506268	0.4297093489633192	0.26061139768553565	1	1	LOC107065677	LOC127063229	TRUE	one_to_one
N13.HOG0000188	OG0000003	L1	32.48241922745734	11.317681962809491	-0.6187326506616149	0.7312444960454325	0.4616877189099723	0.6746755601507599	-0.22397946347845676	0.04371093441760634	0.282201679958798	0.17829764408878726	0.21242016427816743	0.406648854935602	0.1801952779182758	0.27843302723719754	0.47193279683558526	0.5478143697955004	1	1	LOC107074040	LOC127064792	TRUE	one_to_one
