HOG	OG	Gene Tree Parent Clade	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean
N55.HOG0000000	OG0000000	n26					LOC133666970																																																																			
N55.HOG0000001	OG0000000	n64					LOC107999545	LOC102673807		LOC122718296	Or105																																																															
N55.HOG0000002	OG0000000	n112					LOC107999332	LOC102674574			LOC102656805																																																															
N55.HOG0000003	OG0000000	n145					LOC107999342, LOC107999608	LOC116185549		LOC122718158	LOC102655180																																																															
N55.HOG0000004	OG0000000	n199					LOC107999273, LOC107999526	LOC102674214		LOC122718292	LOC102655147																																																															
N55.HOG0000005	OG0000000	n218					LOC107999654	LOC102677433			Or98																																																															
N55.HOG0000006	OG0000000	n236					LOC107999523			LOC122718293																																																																
N55.HOG0000007	OG0000000	n477					LOC107995856	LOC102678645		LOC122718268	LOC100576153																																																															
N55.HOG0000008	OG0000000	n644					LOC107995549	LOC102677549			Or107																																																															
N55.HOG0000009	OG0000000	n648						LOC102678280		LOC122720800																																																																
N55.HOG0000010	OG0000000	n651						LOC102677685		LOC122720863	LOC102653716																																																															
N55.HOG0000011	OG0000000	n655					LOC107995547	LOC102677828			Or109																																																															
N55.HOG0000012	OG0000000	n657					LOC107995551	LOC102678144			LOC102653865																																																															
N55.HOG0000013	OG0000000	n781					LOC107995548, LOC133667106	LOC102673635		LOC122715142	LOC100577888																																																															
N55.HOG0000014	OG0000000	n877					LOC107995484																																																																			
N55.HOG0000015	OG0000000	n897					LOC107995552	LOC102678429			LOC102653810																																																															
N55.HOG0000016	OG0000000	n1206						LOC102676542																																																																		
N55.HOG0000017	OG0000000	n1208					LOC107996418	LOC102676672		LOC122713502	LOC100578400																																																															
N55.HOG0000018	OG0000000	n1258					LOC107996985	LOC102678051		LOC122717572	LOC102656271																																																															
N55.HOG0000019	OG0000000	n1998					LOC108004216	LOC116186070		LOC122714125	LOC107966034																																																															
N55.HOG0000020	OG0000000	n2002						LOC102677070																																																																		
N55.HOG0000021	OG0000000	n2003					LOC133667496				LOC113219362																																																															
N55.HOG0000022	OG0000000	n2012					LOC133665931	LOC102677136			LOC107965775																																																															
N55.HOG0000023	OG0000000	n2145					LOC133666007	LOC102672000, LOC102672524, LOC116184864, LOC116186884		LOC122712541, LOC122712542, LOC122712543, LOC122712544, LOC122712545, LOC122712546, LOC122712547, LOC122712548																																																																
N55.HOG0000024	OG0000000	n2158					LOC133666003, LOC133666005, LOC133666006, LOC133666008				LOC102653577, LOC102653782, LOC102656221, LOC102656904, LOC113218546, LOC113218751																																																															
