HOG	run	run_label	CAFE_track	n_species_in_count_table	n_species_present	max_tip_copy_number	total_tip_copy_number	polistinae_total_copies	vespinae_total_copies	social_wasp_total_copies	outgroup_total_copies	Vespula_vulgaris_copies	Polistes_dominula_copies	Ancistrocerus_nigricornis_copies	inference	OG	gene_tree_parent_clade	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	chemosensory_family_flag	TE_related_HOG_flag	TE_filter_reason	present_in_social_wasps	biological_interest_class	interpretation_note
N0.HOG0000279	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	13	1	13	5	8	13	0	1	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000188	n0	odorant-binding protein family	conservative keyword family rule	general odorant-binding protein 56d-like	1	LOC127071294	LOC127071294	general odorant-binding protein 56d-like	NCBI: vv_genetable.csv	1	1	LOC107067956	LOC107067956	general odorant-binding protein 56d-like	NCBI: pd_genetable.csv	1	0					0	TRUE	FALSE		TRUE	chemoperception	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000320	wasp_CAFE	Vespidae_plus_outgroups	large_family_individual_run	17	8	59	91	86	5	91	0	1	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000221	n0	odorant receptor family	conservative keyword family rule	odorant receptor 13a-like	1	LOC127072454	LOC127072454	odorant receptor 13a-like	NCBI: vv_genetable.csv	1	0					0	0					0	TRUE	FALSE		TRUE	chemoperception	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000659	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	8	1	8	0	8	8	0	1	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000505	n0	odorant receptor family	conservative keyword family rule	odorant receptor 82a-like	1	LOC127068162	LOC127068162	odorant receptor 82a-like	NCBI: vv_genetable.csv	1	0					0	0					0	TRUE	FALSE		TRUE	chemoperception	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0010009	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	11	1	11	3	7	10	1	1	1	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0009573	n0	odorant-binding protein family	conservative keyword family rule	odorant binding protein; Insect pheromone/odorant binding protein domains.; Insect pheromone/odorant binding protein domains.; odorant binding protein	1	LOC127067960	LOC127067960	odorant binding protein	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	LOC107069709	LOC107069709	Insect pheromone/odorant binding protein domains.	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	ENSANRG00005000951	LOC107069709; LOC127067960	Insect pheromone/odorant binding protein domains.; odorant binding protein	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	TRUE	FALSE		TRUE	chemoperception	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0010396	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	14	1	14	4	9	13	1	1	0	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0009960	n0	odorant receptor family	conservative keyword family rule	Odorant receptor	1	LOC127070548	LOC127070548	Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	0					0	1	ENSANRG00005001423	LOC127070548	Odorant receptor	OrthoFinder orthology transfer from: Vespula_vulgaris	1	TRUE	FALSE		TRUE	chemoperception	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0012646	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	5	2	6	0	6	6	0	1	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0012209	n0	odorant receptor family	conservative keyword family rule	odorant receptor 82a-like	1	LOC127071464	LOC127071464	odorant receptor 82a-like	NCBI: vv_genetable.csv	1	0					0	0					0	TRUE	FALSE		TRUE	chemoperception	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0001500	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	9	1	9	3	6	9	0	1	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0001225	n1	mitochondrial inner membrane protease subunit 2	weighted recurring annotation	mitochondrial inner membrane protease subunit 2	1	LOC127067837	LOC127067837	mitochondrial inner membrane protease subunit 2	NCBI: vv_genetable.csv	1	1	LOC107066227	LOC107066227	mitochondrial inner membrane protease subunit 2	NCBI: pd_genetable.csv	1	0					0	FALSE	FALSE		TRUE	digestion / nutrition	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0002073	wasp_CAFE	Vespidae_plus_outgroups	large_family_individual_run	17	5	23	78	78	0	78	0	0	23	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0001763	n0	protein toll-like / carboxypeptidase N subunit 2-like	weighted recurring annotation	protein toll-like; platelet glycoprotein V-like; Toll - interleukin 1 - resistance; neurofilament heavy polypeptide-like; carboxypeptidase N subunit 2-like; toll-like receptor 4; leucine-rich repeat-containing protein 15-like	0					0	23	LOC107073285; LOC107073698; LOC107073702; LOC107073482; LOC107073481; LOC107073719; LOC107073538; LOC107073603; LOC107073625; LOC107073537; LOC107073720; LOC107073287; LOC107063618; LOC107073682; LOC107063620; LOC107072687; LOC107072706; LOC107072711; LOC107073739; LOC107073281; LOC107073480; LOC107073479; LOC107073286	LOC107073285; LOC107073698; LOC107073702; LOC107073482; LOC107073481; LOC107073719; LOC107073538; LOC107073603; LOC107073625; LOC107073537; LOC107073720; LOC107073287; LOC107063618; LOC107073682; LOC107063620; LOC107072687; LOC107072706; LOC107072711; LOC107073739; LOC107073281; LOC107073480; LOC107073479; LOC107073286	protein toll-like; platelet glycoprotein V-like; Toll - interleukin 1 - resistance; neurofilament heavy polypeptide-like; carboxypeptidase N subunit 2-like; toll-like receptor 4; leucine-rich repeat-containing protein 15-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	23	0					0	FALSE	FALSE		TRUE	digestion / nutrition	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0008498	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	13	1	13	3	9	12	1	1	1	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0008081	n0	serine protease family	conservative keyword family rule	Kazal type serine protease inhibitors	1	LOC127070593	LOC127070593	Kazal type serine protease inhibitors	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	LOC107064111	LOC107064111	Kazal type serine protease inhibitors	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	ENSANRG00005007411	CG13694; CG44090; CG8369; LOC107064111; LOC127070593	Kazal type serine protease inhibitors	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE		TRUE	digestion / nutrition	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0008752	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	15	1	15	5	9	14	1	1	1	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0008333	n0	serine protease family	conservative keyword family rule	serine protease 53-like; trypsin-3-like	1	LOC127065804	LOC127065804	serine protease 53-like	NCBI: vv_genetable.csv	1	1	LOC107069049	LOC107069049	trypsin-3-like	NCBI: pd_genetable.csv	1	1	ENSANRG00005008134	LOC107069049	trypsin-3-like	OrthoFinder orthology transfer from: Polistes_dominula	1	FALSE	FALSE		TRUE	digestion / nutrition	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
