gene_pd,symbol_pd,description_pd,genetype_pd,ntranscripts_pd
LOC107063663,Ecr,ecdysone receptor,PROTEIN_CODING,5
LOC107063640,KaiR1D,Kainate-type ionotropic glutamate receptor subunit 1D,PROTEIN_CODING,5
LOC107063642,Uba2,Ubiquitin-like activating enzyme 2,PROTEIN_CODING,1
LOC107063646,Prosalpha2,proteasome alpha2 subunit,PROTEIN_CODING,1
LOC107063648,Nup98-96,nuclear pore complex protein Nup98-96,PROTEIN_CODING,4
LOC107063657,EDTP,Egg-derived tyrosine phosphatase,PROTEIN_CODING,1
LOC107063659,Rap1,RAS oncogene family member Rap1,PROTEIN_CODING,2
LOC107063666,dnc,phosphodiesterase dunce,PROTEIN_CODING,19
LOC107063670,Ip6k,Inositol hexakisphosphate kinase,PROTEIN_CODING,2
LOC107063671,Prx6a,Peroxiredoxin 6a,PROTEIN_CODING,2
LOC107063674,Hcs,holocarboxylase synthetase-like protein,PROTEIN_CODING,2
LOC107063675,Mcm5,Minichromosome maintenance 5,PROTEIN_CODING,1
LOC107063682,ttk,zinc finger and BTB domain-containing protein ttk,PROTEIN_CODING,6
LOC107063685,pch2,pachytene checkpoint 2 protein,PROTEIN_CODING,1
LOC107063686,Rim2,replication in mitochondria 2,PROTEIN_CODING,3
LOC107063687,mahj,LisH and WD40 domain-containing protein mahjong,PROTEIN_CODING,3
LOC107063688,Fer2LCH,Ferritin 2 light chain homologue,PROTEIN_CODING,2
LOC107063689,Fer1HCH,Ferritin 1 heavy chain homologue,PROTEIN_CODING,1
LOC107063690,sl,small wing phospholipase C gamma 1,PROTEIN_CODING,4
LOC107063698,Adck1,aarF domain containing kinase 1,PROTEIN_CODING,2
LOC107063700,Coq6,"ubiquinone biosynthesis protein COQ6, mitochondrial",PROTEIN_CODING,1
LOC107063709,SdhD,"succinate dehydrogenase, subunit D",PROTEIN_CODING,2
LOC107063710,Pcd,pterin-4a-carbinolamine dehydratase,PROTEIN_CODING,2
LOC107063713,Wdr62,WD repeat domain 62,PROTEIN_CODING,7
LOC107063715,GlyS,glycogen [starch] synthase,PROTEIN_CODING,1
LOC107063719,mRpL11,mitochondrial ribosomal protein L11,PROTEIN_CODING,1
LOC107063726,Mocs2B,Molybdenum cofactor synthesis 2B,PROTEIN_CODING,1
LOC107063728,Mgtor,Megator,PROTEIN_CODING,1
LOC107063731,htt,huntingtin,PROTEIN_CODING,1
LOC107063735,FeCH,"ferrochelatase, mitochondrial",PROTEIN_CODING,2
LOC107063738,br,broad-complex core protein,PROTEIN_CODING,9
LOC107063740,TfIIA-L,transcription factor IIA L,PROTEIN_CODING,2
LOC107063741,Plod,procollagen lysyl hydroxylase,PROTEIN_CODING,2
LOC107063758,Rtca,RNA 3'-terminal phosphate cyclase,PROTEIN_CODING,1
LOC107063761,Alg11,"ALG11 alpha-1,2-mannosyltransferase",PROTEIN_CODING,5
LOC107063766,PolE4,DNA polymerase epsilon subunit 4-like,PROTEIN_CODING,2
LOC107063772,CCT3,chaperonin containing TCP1 subunit 3,PROTEIN_CODING,1
LOC107063778,TpnCIIb,troponin C type IIb,PROTEIN_CODING,1
LOC107063784,l(2)10685,5-methylcytosine rRNA methyltransferase l(2)10685,PROTEIN_CODING,1
LOC107063785,dsb,debris buster,PROTEIN_CODING,1
LOC107063788,sff,sugar-free frosting,PROTEIN_CODING,2
LOC107063796,Nup154,nuclear pore complex protein Nup154,PROTEIN_CODING,3
LOC107063798,PEK,pancreatic eIF-2alpha kinase,PROTEIN_CODING,1
LOC107063799,Dbx,Dbx,PROTEIN_CODING,1
LOC107063807,Got2,glutamate oxaloacetate transaminase 2,PROTEIN_CODING,1
LOC107063811,sau,Golgi phosphoprotein 3 homolog sauron,PROTEIN_CODING,1
LOC107063820,Ctl1,choline transporter-like protein 1,PROTEIN_CODING,1
LOC107063824,rept,RuvB-like helicase 2 rept,PROTEIN_CODING,1
LOC107063847,Rich,guanine nucleotide exchange factor subunit Rich,PROTEIN_CODING,2
LOC107063858,Tapdelta,Translocon-associated protein delta,PROTEIN_CODING,1
LOC107063866,Rab11,RAS oncogene family member Rab11,PROTEIN_CODING,3
LOC107063868,Br140,bromodomain-containing protein 140,PROTEIN_CODING,1
LOC107063873,ND-MNLL,NADH dehydrogenase (ubiquinone) MNLL subunit,PROTEIN_CODING,1
LOC107063882,Sec8,Secretory 8,PROTEIN_CODING,1
LOC107063887,Cul1,cullin 1,PROTEIN_CODING,4
LOC107063890,Ugalt,UDP-galactose transporter,PROTEIN_CODING,2
LOC107063899,Pka-C1,"Protein kinase, cAMP-dependent, catalytic subunit 1",PROTEIN_CODING,1
LOC107063903,Npc2b,Niemann-Pick type C-2b,PROTEIN_CODING,1
LOC107063905,Nup205,nuclear pore complex protein Nup205,PROTEIN_CODING,1
